hsa57105	hsa10800	0.9
hsa134	hsa11255	0.3
hsa1812	hsa11255	0.9
hsa2911	hsa11255	0.1
hsa5028	hsa11255	0.1
hsa11255	hsa134	0.3
hsa1812	hsa134	0.9
hsa2911	hsa134	0.9
hsa5028	hsa134	0.9
hsa1813	hsa135	0.9
hsa4985	hsa154	0.9
hsa4988	hsa154	0.3
hsa5731	hsa154	0.9
hsa887	hsa154	0.9
hsa11255	hsa1812	0.9
hsa134	hsa1812	0.9
hsa2911	hsa1812	0.3
hsa5028	hsa1812	0.3
hsa135	hsa1813	0.9
hsa3357	hsa185	0.9
hsa11255	hsa2911	0.1
hsa134	hsa2911	0.9
hsa1812	hsa2911	0.3
hsa5028	hsa2911	0.3
hsa3351	hsa3350	0.3
hsa3352	hsa3350	0.9
hsa3350	hsa3351	0.3
hsa3352	hsa3351	0.9
hsa3350	hsa3352	0.9
hsa3351	hsa3352	0.9
hsa185	hsa3357	0.9
hsa154	hsa4985	0.9
hsa4988	hsa4985	0.9
hsa5731	hsa4985	0.3
hsa887	hsa4985	0.3
hsa154	hsa4988	0.3
hsa4985	hsa4988	0.9
hsa5731	hsa4988	0.1
hsa887	hsa4988	0.1
hsa11255	hsa5028	0.1
hsa134	hsa5028	0.9
hsa1812	hsa5028	0.3
hsa2911	hsa5028	0.3
hsa10800	hsa57105	0.9
hsa154	hsa5731	0.9
hsa4985	hsa5731	0.3
hsa4988	hsa5731	0.1
hsa887	hsa5731	0.3
hsa6915	hsa5739	0.9
hsa5739	hsa6915	0.9
hsa154	hsa887	0.9
hsa4985	hsa887	0.3
hsa4988	hsa887	0.1
hsa5731	hsa887	0.3
