DB00227	DB01039	0.333
DB00448	DB00559	0.25
DB00448	DB00492	0.2
DB00448	DB00338	0.6
DB00448	DB00338	0.6
DB00448	DB00691	0.2
DB00448	DB00531	0.033
DB00448	DB00338	0.6
DB00448	DB00927	0.25
DB00448	DB00178	0.2
DB00448	DB00542	0.2
DB00448	DB01240	0.25
DB00448	DB00722	0.2
DB00448	DB01129	0.4
DB00448	DB00736	0.4
DB00448	DB00213	0.4
DB00448	DB00338	0.5
DB00448	DB01240	0.25
DB00448	DB00881	0.25
DB00448	DB00736	0.4
DB00448	DB00881	0.2
DB00448	DB00736	0.4
DB00448	DB01197	0.2
DB00448	DB01222	0.125
DB00448	DB00213	0.4
DB00448	DB00588	0.167
DB00448	DB00519	0.2
DB00448	DB01129	0.4
DB00448	DB00584	0.2
DB00448	DB01348	0.25
DB00448	DB01340	0.25
DB00448	DB00736	0.4
DB00448	DB00492	0.25
DB00448	DB00691	0.25
DB00448	DB00542	0.25
DB00448	DB00584	0.25
DB00448	DB00790	0.25
DB00448	DB00531	0.038
DB00448	DB00501	0.167
DB00709	DB01004	0.25
DB00709	DB01004	0.25
DB00709	DB00300	1.0
DB01167	DB01026	0.333
DB01167	DB01263	0.2
DB01167	DB00582	0.4
DB01167	DB01110	0.2
DB01167	DB00440	0.167
DB01167	DB01110	0.2
DB01167	DB00601	0.125
DB01167	DB00196	0.333
DB01167	DB00196	0.333
DB01167	DB00440	0.167
DB01167	DB00257	0.2
DB01026	DB00443	0.167
DB01026	DB00591	0.333
DB01026	DB01188	0.333
DB01026	DB00582	0.25
DB01026	DB01110	0.333
DB01026	DB01110	0.333
DB01026	DB01188	0.333
DB01026	DB00196	0.5
DB01026	DB00196	0.5
DB01026	DB01013	0.125
DB01026	DB00257	0.333
DB01101	DB00526	0.333
DB01101	DB00544	0.059
DB01101	DB00762	0.5
DB00559	DB00492	0.5
DB00559	DB00338	0.25
DB00559	DB00338	0.25
DB00559	DB00691	0.5
DB00559	DB00531	0.037
DB00559	DB00338	0.25
DB00559	DB00178	0.5
DB00559	DB00542	0.5
DB00559	DB01240	1.0
DB00559	DB00722	0.5
DB00559	DB01129	0.333
DB00559	DB00736	0.333
DB00559	DB00213	0.333
DB00559	DB00338	0.2
DB00559	DB01240	1.0
DB00559	DB00881	1.0
DB00559	DB00736	0.333
DB00559	DB00881	0.5
DB00559	DB00736	0.333
DB00559	DB01197	0.5
DB00559	DB00213	0.333
DB00559	DB00519	0.5
DB00559	DB01129	0.333
DB00559	DB00584	0.5
DB00559	DB01348	1.0
DB00559	DB01340	1.0
DB00559	DB00736	0.333
DB00559	DB00492	1.0
DB00559	DB00691	1.0
DB00559	DB00542	1.0
DB00559	DB00584	1.0
DB00559	DB00790	1.0
DB00559	DB00531	0.043
DB01010	DB00864	0.125
DB01010	DB00091	0.063
DB01010	DB00545	1.0
DB01010	DB00443	0.125
DB01010	DB01122	1.0
DB00668	DB01075	0.5
DB00668	DB00959	0.167
DB00668	DB00959	0.143
DB00668	DB00668	1.0
DB00668	DB00863	1.0
DB00668	DB01001	1.0
DB00668	DB00668	1.0
DB00668	DB01075	0.5
DB00668	DB01075	0.5
DB00668	DB01075	0.5
DB00668	DB01075	0.5
DB00668	DB00635	0.033
DB00668	DB00863	1.0
DB00668	DB01075	0.5
DB00668	DB00959	0.167
DB00668	DB00959	0.167
DB00668	DB00959	0.167
DB00668	DB00959	0.167
DB01098	DB00175	0.5
DB01098	DB01076	0.5
DB01098	DB00175	0.5
DB01098	DB01098	1.0
DB00694	DB01181	0.059
DB00694	DB00958	0.042
DB00694	DB01033	0.25
DB00694	DB00987	0.375
DB00694	DB01234	0.143
DB00694	DB00317	0.143
DB00694	DB00755	0.143
DB00694	DB01204	0.125
DB00694	DB00541	0.1
DB00694	DB01234	0.167
DB00694	DB00531	0.097
DB00694	DB00290	0.083
DB00694	DB00445	0.375
DB00694	DB01033	0.25
DB00694	DB01229	0.1
DB00694	DB00773	0.059
DB00694	DB01234	0.167
DB00694	DB00290	0.083
DB00694	DB00541	0.111
DB00694	DB00563	0.087
DB00694	DB00445	0.375
DB00694	DB00441	0.071
DB00694	DB00773	0.067
DB00694	DB00987	0.429
DB00694	DB00361	0.125
DB00694	DB00385	0.429
DB00694	DB01234	0.167
DB00694	DB00619	0.059
DB00694	DB01177	0.571
DB00694	DB00619	0.056
DB00694	DB01177	0.571
DB00694	DB00515	0.063
DB00694	DB01234	0.167
DB00694	DB01259	0.143
DB00694	DB00635	0.057
DB00694	DB01229	0.1
DB00694	DB01234	0.143
DB00694	DB01204	0.125
DB00694	DB01234	0.154
DB00694	DB00694	1.0
DB00694	DB00987	0.429
DB00694	DB01259	0.143
DB00694	DB00361	0.125
DB00694	DB00997	0.188
DB00694	DB00531	0.111
DB00694	DB01234	0.167
DB00694	DB01234	0.167
DB00694	DB00441	0.067
DB00694	DB00563	0.125
DB00443	DB00591	0.25
DB00443	DB00388	0.25
DB00443	DB00547	0.2
DB00443	DB00967	0.25
DB00443	DB00443	0.75
DB00443	DB00764	0.5
DB00443	DB01075	0.2
DB00443	DB00620	0.333
DB00443	DB00860	0.375
DB00443	DB00620	0.4
DB00443	DB00620	0.4
DB00443	DB01188	0.25
DB00443	DB00935	0.25
DB00443	DB00959	0.111
DB00443	DB01234	0.083
DB00443	DB00443	0.75
DB00443	DB00741	0.286
DB00443	DB00959	0.1
DB00443	DB01114	0.25
DB00443	DB00860	0.375
DB00443	DB00596	0.2
DB00443	DB00455	0.25
DB00443	DB00764	0.5
DB00443	DB00764	0.4
DB00443	DB00471	0.2
DB00443	DB01234	0.1
DB00443	DB00860	0.375
DB00443	DB00443	0.75
DB00443	DB00523	0.25
DB00443	DB00993	0.222
DB00443	DB00852	0.25
DB00443	DB01075	0.2
DB00443	DB00332	0.2
DB00443	DB01075	0.2
DB00443	DB00557	0.25
DB00443	DB00993	0.167
DB00443	DB01234	0.1
DB00443	DB01188	0.25
DB00443	DB00563	0.048
DB00443	DB00388	0.25
DB00443	DB00180	0.25
DB00443	DB00972	0.25
DB00443	DB00091	0.111
DB00443	DB00394	0.2
DB00443	DB00860	0.375
DB00443	DB00852	0.25
DB00443	DB00852	0.25
DB00443	DB01047	0.2
DB00443	DB00180	0.2
DB00443	DB00443	0.6
DB00443	DB01234	0.1
DB00443	DB00557	0.25
DB00443	DB00620	0.4
DB00443	DB00291	0.2
DB00443	DB00768	0.25
DB00443	DB00341	0.25
DB00443	DB00860	0.375
DB00443	DB01075	0.2
DB00443	DB00341	0.25
DB00443	DB00852	0.25
DB00443	DB01075	0.2
DB00443	DB00860	0.375
DB00443	DB01234	0.1
DB00443	DB00635	0.063
DB00443	DB00860	0.231
DB00443	DB01013	0.25
DB00443	DB00950	0.25
DB00443	DB00557	0.25
DB00443	DB01075	0.2
DB00443	DB01234	0.083
DB00443	DB01234	0.091
DB00443	DB00443	0.333
DB00443	DB01222	0.125
DB00443	DB00950	0.25
DB00443	DB00972	0.25
DB00443	DB00588	0.4
DB00443	DB00620	0.4
DB00443	DB00443	0.75
DB00443	DB01013	0.2
DB00443	DB00688	0.125
DB00443	DB00959	0.111
DB00443	DB00959	0.111
DB00443	DB00959	0.111
DB00443	DB00959	0.111
DB00443	DB00860	0.375
