	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1.000000	0.277778	0.175000	0.258065	0.210526	0.181818	0.282609	0.304348	0.282609	0.294118	0.175000	0.140000	0.181818	0.230769	0.161290	0.212766	0.322581	0.214286	0.132075	0.176471	0.122449	0.125000	0.113208	0.150000	0.175000	0.209302	0.136364	0.272727	0.113924	0.225000	0.236364	0.244898	0.125000	0.133333	0.368421	0.200000	0.440000	0.153846	0.218182	0.152174	0.098592	0.187500	0.173077	0.260000	0.128571	0.200000	0.170213	0.136364	0.118644	0.232558	0.142857	0.191489	0.132075	0.152174	0.192308	0.192308	0.181818	0.144737	0.260870	0.241379	0.180556	0.250000	0.229508	0.156250	0.111111	0.250000	0.244898	0.240741	0.000000	0.169811	0.169492	0.173913	0.208333	0.180000	0.200000	0.120000	0.166667	0.147059	0.183099	0.138889	0.265306	0.163265	0.207547	0.093750	0.170732	0.304348	0.224138	0.094595	0.135135	0.240741	0.188406	0.145455	0.115942	0.151515	0.192308	0.123077	0.241379	0.147541	0.203125	0.173913	0.183099	0.209302	0.268293	0.156250	0.125000	0.232143	0.166667	0.183099	0.162791	0.156250	0.187500	0.195122	0.210526	0.157895	0.097561	0.171875	0.185185	0.285714	0.137255	0.166667	0.196721	0.158537	0.175439	0.173913	0.228070	0.189189	0.196721	0.159091	0.224138	0.243902	0.148148	0.148936	0.250000	0.190476	0.155844	0.180000	0.222222	0.101695	0.171429	0.164557	0.175439	0.254545	0.120000	0.250000	0.177419	0.222222	0.312500	0.183673	0.209302	0.209677	0.183673	0.169014	0.130435	0.184211	0.203390	0.123077	0.274510	0.225806	0.178082	0.173913	0.232558	0.190476	0.196078	0.104478	0.208955	0.179487	0.189189	0.264151	0.172414	0.172414	0.187500	0.217391	0.134615	0.132075	0.233333	0.191489	0.200000	0.183673	0.239130	0.097561	0.186047	0.183333	0.166667	0.135593	0.166667	0.132353	0.160714	0.215385	0.155172	0.187500	0.152174	0.180556	0.206349	0.200000	0.171429	0.175000	0.176471	0.107143	0.179487	0.169492	0.188679	0.256410	0.173913	0.218182	0.196078	0.236842	0.203390	0.209677	0.240741	0.105263	0.205128	0.225000	0.137255	0.214286	0.294118	0.225806	0.203390	0.206897	0.135135	0.163265	0.189655	0.150000	0.203390
D00059	0.277778	1.000000	0.400000	0.195652	0.589744	0.360000	0.315789	0.310345	0.293103	0.333333	0.400000	0.123077	0.342857	0.230769	0.275362	0.553191	0.461538	0.500000	0.134328	0.371429	0.267857	0.128571	0.229508	0.215686	0.222222	0.259259	0.197368	0.414634	0.316456	0.444444	0.200000	0.262295	0.239437	0.135593	0.214286	0.287671	0.155556	0.277108	0.338710	0.352941	0.220779	0.226667	0.509804	0.253968	0.172840	0.402985	0.203390	0.197368	0.123288	0.326923	0.142857	0.440000	0.134328	0.150000	0.278689	0.278689	0.227273	0.287500	0.423077	0.181818	0.262500	0.290909	0.300000	0.216216	0.245902	0.290909	0.241935	0.317460	0.000000	0.278689	0.250000	0.129032	0.370370	0.442308	0.464286	0.263158	0.354167	0.270270	0.315789	0.324324	0.258065	0.553191	0.481481	0.146667	0.391304	0.288136	0.279412	0.212500	0.176471	0.276923	0.272727	0.490566	0.367647	0.415385	0.560000	0.328358	0.294118	0.365079	0.309859	0.310811	0.234568	0.259259	0.259259	0.270000	0.129032	0.491228	0.444444	0.315789	0.294118	0.232877	0.194805	0.547619	0.550000	0.366667	0.308642	0.246575	0.212121	0.295082	0.138462	0.413043	0.328358	0.275862	0.238806	0.227848	0.409836	0.153846	0.236111	0.155172	0.279412	0.634146	0.500000	0.129032	0.378378	0.571429	0.206897	0.470588	0.291667	0.227273	0.180723	0.350000	0.296875	0.307692	0.220339	0.265625	0.289855	0.183333	0.410714	0.174603	0.446809	0.378788	0.423077	0.394366	0.189873	0.413333	0.474576	0.390625	0.285714	0.373134	0.243902	0.521739	0.604651	0.571429	0.184615	0.232877	0.405797	0.512195	0.463415	0.338710	0.500000	0.183099	0.489796	0.565217	0.136364	0.333333	0.267606	0.469388	0.560976	0.193548	0.622222	0.220000	0.367347	0.380952	0.565217	0.152778	0.382979	0.388060	0.306452	0.357143	0.296875	0.321429	0.352941	0.216867	0.333333	0.142857	0.400000	0.341463	0.461538	0.218750	0.127273	0.287879	0.295082	0.274510	0.590909	0.537037	0.604167	0.536585	0.338462	0.338235	0.317460	0.234043	0.702703	0.274510	0.138462	0.448276	0.438596	0.314286	0.380952	0.243902	0.204819	0.553191	0.180556	0.287879	0.359375
D00079	0.175000	0.400000	1.000000	0.400000	0.340426	0.815789	0.433962	0.400000	0.288136	0.297872	1.000000	0.057143	0.233766	0.350000	0.219178	0.298246	0.288889	0.370968	0.115942	0.328767	0.142857	0.111111	0.225806	0.211538	0.305882	0.408163	0.164557	0.404762	0.280488	0.736842	0.197183	0.164179	0.253521	0.133333	0.210526	0.338028	0.104167	0.289157	0.292308	0.842105	0.266667	0.223684	0.344828	0.176471	0.215190	0.357143	0.469388	0.210526	0.121622	0.372549	0.073529	0.258621	0.132353	0.076923	0.295082	0.410714	0.171429	0.268293	0.271186	0.081633	0.243902	0.309091	0.226667	0.213333	0.222222	0.309091	0.164179	0.354839	0.000000	0.253968	0.178082	0.126984	0.415094	0.357143	0.406780	0.140625	0.157895	0.250000	0.216867	0.253165	0.274194	0.450980	0.396552	0.144737	0.300000	0.305085	0.396825	0.256410	0.231707	0.253731	0.285714	0.632653	0.270270	0.273973	0.436364	0.250000	0.271429	0.318182	0.342857	0.400000	0.216867	0.112903	0.301887	0.280000	0.126984	0.387097	0.404255	0.364865	0.595238	0.166667	0.291667	0.320000	0.260000	0.317460	0.304878	0.226667	0.306452	0.269841	0.119403	0.245283	0.250000	0.204301	0.200000	0.166667	0.359375	0.129630	0.232877	0.096774	0.375000	0.333333	0.645833	0.126984	0.155556	0.313725	0.204545	0.266667	0.305556	0.154930	0.178571	0.313253	0.217391	0.211268	0.089552	0.301587	0.232877	0.200000	0.269841	0.209677	0.725000	0.373134	0.595745	0.351351	0.250000	0.337500	0.419355	0.250000	0.322581	0.273973	0.303797	0.339623	0.428571	0.313725	0.218750	0.213333	0.361111	0.400000	0.297872	0.354839	0.416667	0.148649	0.396226	0.377358	0.151515	0.327586	0.246575	0.351852	0.382979	0.153846	0.396226	0.240000	0.283019	0.333333	0.377358	0.166667	0.736842	0.424242	0.205882	0.230769	0.354839	0.333333	0.842105	0.228916	0.309859	0.181818	0.320000	0.321429	0.375000	0.215385	0.145455	0.228571	0.212121	0.269231	0.479167	0.500000	0.560000	0.361702	0.275362	0.295775	0.400000	0.053571	0.361702	0.294118	0.171875	0.370968	0.406780	0.291667	0.396825	0.625000	0.202381	0.423077	0.228571	0.303030	0.275362
D00094	0.258065	0.195652	0.400000	1.000000	0.195652	0.386364	0.283019	0.254545	0.214286	0.177778	0.400000	0.064516	0.144737	0.327273	0.125000	0.200000	0.190476	0.166667	0.169492	0.186667	0.084746	0.125000	0.133333	0.250000	0.197674	0.487805	0.076923	0.342105	0.141176	0.414634	0.222222	0.129032	0.173913	0.224490	0.196078	0.279412	0.250000	0.178571	0.225806	0.476190	0.191781	0.164384	0.272727	0.241379	0.189189	0.175676	0.488372	0.183099	0.136364	0.347826	0.140351	0.181818	0.131148	0.148148	0.420000	0.314815	0.121212	0.142857	0.175439	0.153846	0.189873	0.306122	0.150685	0.185714	0.254545	0.230769	0.147541	0.310345	0.033333	0.145161	0.114286	0.145455	0.240741	0.236364	0.271186	0.083333	0.094340	0.144737	0.148148	0.151899	0.290909	0.269231	0.280702	0.179104	0.325581	0.301887	0.333333	0.184211	0.162500	0.245902	0.229730	0.358491	0.194444	0.231884	0.203390	0.188406	0.208955	0.215385	0.264706	0.304348	0.177215	0.089286	0.220000	0.224490	0.235294	0.200000	0.348837	0.223684	0.475000	0.152778	0.231884	0.183673	0.222222	0.271186	0.192771	0.135135	0.327273	0.220339	0.135593	0.160000	0.138889	0.168539	0.151515	0.153846	0.179104	0.127660	0.154930	0.090909	0.269841	0.153846	0.339623	0.145455	0.189189	0.229167	0.195122	0.259259	0.228571	0.138462	0.151899	0.188235	0.169231	0.164179	0.048387	0.321429	0.123288	0.207547	0.200000	0.196429	0.355556	0.166667	0.367347	0.210526	0.175676	0.178571	0.159420	0.188406	0.298246	0.148649	0.266667	0.285714	0.215686	0.229167	0.272727	0.106667	0.200000	0.195652	0.177778	0.333333	0.262295	0.149254	0.269231	0.326531	0.152542	0.352941	0.238806	0.274510	0.239130	0.175439	0.294118	0.255814	0.250000	0.159420	0.203704	0.187500	0.450000	0.211268	0.104478	0.205479	0.245902	0.268293	0.441860	0.236842	0.250000	0.187500	0.166667	0.183908	0.232143	0.126984	0.170213	0.164179	0.180328	0.208333	0.285714	0.266667	0.296296	0.272727	0.142857	0.253731	0.310345	0.062500	0.272727	0.380952	0.155172	0.184615	0.250000	0.287879	0.269841	0.419355	0.177215	0.178571	0.238095	0.164179	0.159420
D00095	0.210526	0.589744	0.340426	0.195652	1.000000	0.307692	0.271186	0.333333	0.315789	0.304348	0.340426	0.140625	0.342857	0.250000	0.313433	0.553191	0.425000	0.555556	0.206349	0.371429	0.245614	0.196970	0.271186	0.377778	0.250000	0.283019	0.151899	0.380952	0.300000	0.354167	0.200000	0.262295	0.239437	0.240741	0.283019	0.287671	0.155556	0.247059	0.338710	0.326923	0.287671	0.243243	0.571429	0.215385	0.217949	0.342857	0.203390	0.246575	0.188406	0.326923	0.220339	0.531915	0.206349	0.232143	0.344828	0.238095	0.265625	0.287500	0.510204	0.181818	0.328947	0.339623	0.300000	0.232877	0.245902	0.267857	0.241935	0.360656	0.000000	0.278689	0.231884	0.206897	0.275862	0.562500	0.547170	0.241379	0.250000	0.253333	0.315789	0.380282	0.278689	0.586957	0.568627	0.246377	0.391304	0.310345	0.318182	0.276316	0.219512	0.276923	0.272727	0.410714	0.409091	0.460317	0.529412	0.390625	0.313433	0.387097	0.347826	0.293333	0.234568	0.214286	0.283019	0.257426	0.228070	0.416667	0.382979	0.315789	0.269231	0.200000	0.226667	0.911765	0.550000	0.366667	0.358974	0.246575	0.194030	0.295082	0.193548	0.300000	0.308824	0.321429	0.202899	0.276316	0.365079	0.176471	0.308824	0.175439	0.338462	0.425532	0.418182	0.206897	0.416667	0.736842	0.235294	0.562500	0.273973	0.227273	0.209877	0.367089	0.276923	0.268657	0.161290	0.246154	0.253521	0.224138	0.316667	0.275862	0.446809	0.338235	0.370370	0.414286	0.236842	0.376623	0.359375	0.459016	0.285714	0.295775	0.228916	0.627907	0.815789	0.736842	0.283333	0.200000	0.328767	0.377778	0.333333	0.360656	0.527273	0.253731	0.586957	0.756098	0.209677	0.433962	0.323529	0.674419	0.600000	0.275862	0.622222	0.355556	0.425532	0.298507	0.714286	0.220588	0.326531	0.347826	0.327869	0.376812	0.383333	0.305882	0.326923	0.246914	0.352941	0.230769	0.441176	0.341463	0.551020	0.258065	0.215686	0.268657	0.274194	0.300000	0.627907	0.509091	0.540000	0.285714	0.318182	0.358209	0.276923	0.183673	0.615385	0.300000	0.213115	0.400000	0.413793	0.295775	0.403226	0.214286	0.219512	0.586957	0.250000	0.328125	0.338462
D00106	0.181818	0.360000	0.815789	0.386364	0.307692	1.000000	0.446429	0.438596	0.285714	0.404255	0.815789	0.112676	0.265823	0.387097	0.270270	0.274194	0.260000	0.428571	0.154930	0.324675	0.166667	0.148649	0.246154	0.192982	0.318182	0.510204	0.168675	0.361702	0.250000	0.651163	0.250000	0.202899	0.220779	0.177419	0.213115	0.333333	0.115385	0.317647	0.369231	0.704545	0.315789	0.289474	0.360656	0.180556	0.246914	0.388889	0.571429	0.243590	0.173333	0.339286	0.114286	0.278689	0.171429	0.119403	0.354839	0.377049	0.208333	0.267442	0.333333	0.115385	0.273810	0.305085	0.276316	0.246753	0.205882	0.350877	0.202899	0.369231	0.000000	0.312500	0.229730	0.169231	0.379310	0.327869	0.353846	0.164179	0.145161	0.282051	0.277108	0.268293	0.333333	0.410714	0.343750	0.121951	0.272727	0.281250	0.388060	0.303797	0.261905	0.308824	0.316456	0.574074	0.237500	0.240506	0.448276	0.217949	0.342857	0.295775	0.356164	0.471429	0.247059	0.174603	0.321429	0.330000	0.187500	0.400000	0.420000	0.358974	0.636364	0.170732	0.324324	0.290909	0.236364	0.333333	0.272727	0.243590	0.303030	0.307692	0.159420	0.224138	0.283784	0.193878	0.236111	0.197674	0.373134	0.137931	0.250000	0.140625	0.430769	0.280702	0.584906	0.169231	0.140000	0.285714	0.193548	0.246154	0.356164	0.129870	0.238095	0.373494	0.289855	0.246575	0.147059	0.298507	0.266667	0.241935	0.307692	0.250000	0.608696	0.366197	0.538462	0.400000	0.282051	0.333333	0.409091	0.217949	0.359375	0.306667	0.317073	0.310345	0.363636	0.285714	0.276923	0.215190	0.391892	0.333333	0.269231	0.328358	0.363636	0.200000	0.362069	0.322034	0.191176	0.301587	0.315068	0.322034	0.346154	0.194030	0.362069	0.264151	0.303571	0.328571	0.344828	0.202703	0.775000	0.375000	0.260870	0.262500	0.435484	0.392857	0.704545	0.229885	0.324324	0.206897	0.350649	0.348837	0.344262	0.235294	0.152542	0.197368	0.287879	0.267857	0.433962	0.508475	0.482143	0.326923	0.309859	0.328767	0.412698	0.049180	0.326923	0.267857	0.230769	0.451613	0.442623	0.306667	0.476190	0.540541	0.232558	0.385965	0.246575	0.358209	0.309859
D00110	0.282609	0.315789	0.433962	0.283019	0.271186	0.446429	1.000000	0.816327	0.442623	0.460000	0.433962	0.283582	0.465753	0.660714	0.442857	0.323077	0.186441	0.469697	0.348485	0.535211	0.200000	0.352941	0.275362	0.388889	0.537500	0.350000	0.209302	0.245614	0.329545	0.471698	0.405797	0.451613	0.246914	0.379310	0.372881	0.426667	0.274510	0.469136	0.411765	0.464286	0.320988	0.458333	0.384615	0.393939	0.285714	0.426667	0.473684	0.316456	0.397059	0.413793	0.307692	0.307692	0.348485	0.322581	0.491803	0.400000	0.323944	0.380952	0.359375	0.226415	0.500000	0.423729	0.386667	0.391892	0.289855	0.527273	0.451613	0.548387	0.000000	0.246575	0.380282	0.406780	0.426230	0.353846	0.417910	0.197183	0.181818	0.304878	0.486842	0.337349	0.491803	0.365079	0.409091	0.222222	0.425926	0.459016	0.612903	0.309524	0.378049	0.411765	0.370370	0.415385	0.277108	0.329114	0.400000	0.275000	0.603175	0.414286	0.630769	0.527778	0.430380	0.265625	0.446429	0.400000	0.296875	0.507692	0.368421	0.486842	0.362069	0.355263	0.458333	0.258065	0.339286	0.338028	0.367816	0.424658	0.524590	0.586207	0.318182	0.164179	0.436620	0.305263	0.391304	0.392405	0.523077	0.351852	0.457143	0.333333	0.587302	0.311475	0.400000	0.406780	0.230769	0.295082	0.340909	0.275362	0.413333	0.220779	0.387500	0.475610	0.391304	0.484848	0.268657	0.424242	0.397260	0.377049	0.415385	0.380952	0.500000	0.507246	0.403226	0.493333	0.389610	0.433735	0.470588	0.275000	0.740741	0.346154	0.385542	0.296875	0.344262	0.295082	0.428571	0.240964	0.428571	0.271186	0.196721	0.500000	0.385714	0.405797	0.387097	0.349206	0.375000	0.483333	0.391892	0.349206	0.350877	0.380952	0.387097	0.275862	0.428571	0.449275	0.393443	0.391304	0.392857	0.394737	0.270270	0.402597	0.523810	0.476190	0.464286	0.407407	0.500000	0.452830	0.441558	0.413793	0.369231	0.263889	0.415094	0.256410	0.415385	0.392857	0.383333	0.476923	0.451613	0.310345	0.408451	0.485714	0.454545	0.109375	0.310345	0.471698	0.426230	0.515625	0.557377	0.418919	0.639344	0.254902	0.329412	0.365079	0.462687	0.361111	0.470588
D00113	0.304348	0.310345	0.400000	0.254545	0.333333	0.438596	0.816327	1.000000	0.508475	0.423077	0.400000	0.298507	0.440000	0.649123	0.457143	0.403226	0.267857	0.531250	0.363636	0.527778	0.214286	0.367647	0.289855	0.433962	0.569620	0.366667	0.220930	0.333333	0.325843	0.436364	0.462687	0.378788	0.259259	0.396552	0.490909	0.421053	0.245283	0.411765	0.447761	0.406780	0.350000	0.472222	0.421875	0.309859	0.313253	0.440000	0.393443	0.312500	0.391304	0.482143	0.323077	0.387097	0.384615	0.338710	0.508197	0.352941	0.417910	0.392857	0.442623	0.178571	0.493506	0.465517	0.438356	0.405405	0.323529	0.545455	0.378788	0.564516	0.000000	0.314286	0.394366	0.423729	0.396825	0.435484	0.454545	0.211268	0.179104	0.350000	0.443038	0.333333	0.508197	0.426230	0.446154	0.204819	0.444444	0.451613	0.603175	0.337349	0.373494	0.447761	0.365854	0.453125	0.289157	0.325000	0.460317	0.287500	0.672131	0.428571	0.597015	0.541667	0.407407	0.261538	0.518519	0.382353	0.312500	0.523077	0.362069	0.500000	0.379310	0.283951	0.472222	0.316667	0.310345	0.371429	0.363636	0.458333	0.446154	0.631579	0.333333	0.234375	0.471429	0.315789	0.366197	0.370370	0.515152	0.396226	0.471429	0.372881	0.578125	0.306452	0.460317	0.423729	0.226415	0.333333	0.322222	0.328358	0.407895	0.202532	0.417722	0.487805	0.447761	0.394366	0.283582	0.439394	0.391892	0.440678	0.347826	0.442623	0.518519	0.500000	0.419355	0.547945	0.384615	0.463415	0.463768	0.271605	0.727273	0.341772	0.364706	0.354839	0.360656	0.333333	0.444444	0.268293	0.441558	0.310345	0.275862	0.515625	0.400000	0.420290	0.450000	0.343750	0.390625	0.451613	0.464789	0.433333	0.444444	0.396825	0.426230	0.339286	0.472727	0.422535	0.409836	0.385714	0.362069	0.407895	0.319444	0.434211	0.539683	0.453488	0.406780	0.419753	0.472222	0.444444	0.454545	0.425287	0.428571	0.277778	0.433962	0.285714	0.476190	0.462963	0.448276	0.539683	0.467742	0.283333	0.402778	0.478873	0.447761	0.090909	0.305085	0.462963	0.466667	0.555556	0.523810	0.432432	0.629032	0.300000	0.325581	0.426230	0.500000	0.394366	0.463768
D00136	0.282609	0.293103	0.288136	0.214286	0.315789	0.285714	0.442623	0.508475	1.000000	0.237288	0.288136	0.303030	0.354430	0.453125	0.530303	0.343750	0.400000	0.447761	0.412698	0.579710	0.292308	0.437500	0.239437	0.415094	0.464286	0.306452	0.253012	0.420000	0.360465	0.322034	0.515625	0.267606	0.231707	0.355932	0.446429	0.337500	0.300000	0.279570	0.391304	0.301587	0.304878	0.521739	0.384615	0.226667	0.285714	0.354430	0.272727	0.316456	0.338028	0.490909	0.328125	0.393443	0.459016	0.301587	0.516667	0.300000	0.540984	0.380952	0.359375	0.120690	0.443038	0.680000	0.350649	0.391892	0.328358	0.333333	0.267606	0.523810	0.108696	0.300000	0.507692	0.383333	0.403226	0.442623	0.376812	0.287879	0.258065	0.289157	0.430380	0.423077	0.421875	0.433333	0.388060	0.269231	0.400000	0.483333	0.587302	0.325301	0.412500	0.391304	0.337349	0.352941	0.292683	0.280488	0.444444	0.291139	0.422535	0.434783	0.514286	0.506849	0.412500	0.265625	0.687500	0.372549	0.383333	0.580645	0.322034	0.448718	0.362069	0.287500	0.381579	0.344828	0.229508	0.417910	0.322222	0.625000	0.367647	0.642857	0.359375	0.278689	0.645161	0.305263	0.352113	0.358025	0.571429	0.489796	0.478261	0.428571	0.492537	0.311475	0.358209	0.431034	0.207547	0.316667	0.340909	0.419355	0.358974	0.205128	0.441558	0.423529	0.500000	0.256410	0.287879	0.649123	0.522388	0.500000	0.260274	0.474576	0.306452	0.405405	0.380952	0.534247	0.371795	0.565789	0.408451	0.275000	0.492063	0.346154	0.306818	0.338710	0.301587	0.316667	0.475410	0.320513	0.341463	0.271186	0.327273	0.500000	0.328767	0.492308	0.387097	0.328125	0.375000	0.459016	0.391892	0.370968	0.375000	0.359375	0.323077	0.370370	0.355932	0.388889	0.416667	0.352113	0.278689	0.308642	0.402985	0.333333	0.476923	0.441860	0.301587	0.480519	0.478873	0.350877	0.405063	0.351648	0.435484	0.263889	0.442308	0.361111	0.508197	0.733333	0.406780	0.432836	0.384615	0.266667	0.351351	0.485714	0.371429	0.145161	0.266667	0.392857	0.380952	0.590164	0.439394	0.418919	0.515152	0.254902	0.298851	0.457627	0.462687	0.289474	0.538462
D00139	0.294118	0.333333	0.297872	0.177778	0.304348	0.404255	0.460000	0.423077	0.237288	1.000000	0.297872	0.203390	0.333333	0.300000	0.323077	0.267857	0.170213	0.389831	0.193548	0.287671	0.112903	0.184615	0.123077	0.224490	0.301205	0.375000	0.098765	0.142857	0.228916	0.369565	0.261538	0.363636	0.116883	0.181818	0.245283	0.210526	0.315789	0.316456	0.327869	0.313725	0.150000	0.304348	0.315789	0.262295	0.120482	0.314286	0.408163	0.171053	0.212121	0.264151	0.206897	0.320755	0.193548	0.218182	0.245902	0.206349	0.179104	0.246914	0.358491	0.219512	0.337838	0.210526	0.328358	0.205479	0.121212	0.301887	0.363636	0.306452	0.000000	0.169231	0.257576	0.214286	0.220339	0.237288	0.355932	0.111111	0.086207	0.226667	0.380282	0.263158	0.310345	0.267857	0.344828	0.135135	0.240000	0.275862	0.287879	0.144578	0.195122	0.285714	0.230769	0.222222	0.213333	0.285714	0.357143	0.225352	0.433333	0.217391	0.400000	0.319444	0.289474	0.346939	0.200000	0.275510	0.192982	0.338710	0.260000	0.306667	0.280000	0.222222	0.250000	0.285714	0.333333	0.212121	0.223529	0.236111	0.238095	0.375000	0.180328	0.086207	0.279412	0.238636	0.227273	0.283784	0.333333	0.160000	0.242857	0.181818	0.393443	0.326531	0.225806	0.214286	0.195122	0.254902	0.170455	0.216667	0.300000	0.161765	0.230769	0.341772	0.285714	0.406780	0.186441	0.196970	0.260870	0.210526	0.452830	0.220339	0.434783	0.253521	0.358491	0.310811	0.194805	0.300000	0.268657	0.225352	0.385965	0.323529	0.204819	0.236364	0.367347	0.254902	0.250000	0.100000	0.319444	0.153846	0.094340	0.285714	0.261538	0.261538	0.267857	0.346154	0.196721	0.321429	0.257143	0.272727	0.291667	0.263158	0.314815	0.180000	0.382979	0.231884	0.346154	0.191176	0.312500	0.263889	0.215385	0.309859	0.396552	0.329268	0.313725	0.222222	0.343284	0.192308	0.333333	0.317073	0.254237	0.117647	0.200000	0.169014	0.305085	0.188679	0.283019	0.396552	0.339286	0.220000	0.287879	0.348485	0.246154	0.056604	0.270833	0.285714	0.241379	0.413793	0.454545	0.232877	0.465517	0.139535	0.209877	0.290909	0.257576	0.276923	0.307692
