	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1.000000	0.182684	0.049787	0.082085	0.142274	0.045049	0.116484	0.116484	0.082085	0.110803	0.057844	0.082085	0.110803	0.086294	0.035084	0.100259	0.182684	0.052340	0.078082	0.025991	0.182684	0.074274	0.060810	0.165299	0.017422	0.045049	0.070651	0.173774	0.035084	0.049787	0.074274	0.142274	0.122456	0.110803	0.157237	0.055023	0.449329	0.022371	0.049787	0.040762	0.060810	0.027324	0.070651	0.110803	0.049787	0.008652	0.047359	0.067206	0.070651	0.082085	0.110803	0.090718	0.067206	0.122456	0.057844	0.122456	0.070651	0.078082	0.082085	0.128735	0.057844	0.070651	0.052340	0.036883	0.173774	0.105399	0.149569	0.095369	0.201897	0.063928	0.055023	0.105399	0.105399	0.055023	0.082085	0.165299	0.149569	0.067206	0.055023	0.067206	0.045049	0.086294	0.082085	0.090718	0.105399	0.110803	0.067206	0.055023	0.045049	0.090718	0.063928	0.033373	0.086294	0.074274	0.036883	0.110803	0.086294	0.074274	0.045049	0.013569	0.060810	0.110803	0.086294	0.007828	0.078082	0.047359	0.082085	0.036883	0.049787	0.070651	0.022371	0.128735	0.110803	0.078082	0.045049	0.078082	0.095369	0.116484	0.100259	0.128735	0.038774	0.040762	0.055023	0.045049	0.063928	0.116484	0.074274	0.105399	0.074274	0.149569	0.035084	0.090718	0.212248	0.116484	0.049787	0.074274	0.038774	0.135335	0.038774	0.031746	0.052340	0.116484	0.100259	0.057844	0.047359	0.095369	0.100259	0.078082	0.045049	0.033373	0.025991	0.024724	0.040762	0.017422	0.033373	0.100259	0.116484	0.090718	0.057844	0.100259	0.135335	0.116484	0.116484	0.100259	0.008230	0.165299	0.173774	0.122456	0.060810	0.078082	0.070651	0.105399	0.055023	0.045049	0.045049	0.086294	0.116484	0.095369	0.078082	0.095369	0.105399	0.033373	0.074274	0.052340	0.036883	0.035084	0.055023	0.095369	0.055023	0.009562	0.030197	0.030197	0.060810	0.234570	0.040762	0.004296	0.063928	0.055023	0.182684	0.122456	0.057844	0.142274	0.095369	0.023518	0.086294	0.135335	0.105399	0.045049	0.074274	0.142274	0.110803	0.116484	0.100259	0.045049	0.078082	0.052340	0.049787	0.223130	0.052340	0.057844	0.057844	0.042852	0.049787
D00059	0.182684	1.000000	0.045049	0.067206	0.234570	0.040762	0.070651	0.095369	0.060810	0.100259	0.052340	0.055023	0.090718	0.086294	0.028725	0.122456	0.182684	0.042852	0.063928	0.025991	0.110803	0.049787	0.045049	0.135335	0.014264	0.060810	0.070651	0.157237	0.038774	0.045049	0.045049	0.095369	0.100259	0.090718	0.105399	0.055023	0.110803	0.016573	0.055023	0.036883	0.049787	0.024724	0.057844	0.082085	0.036883	0.014264	0.035084	0.074274	0.047359	0.060810	0.090718	0.074274	0.055023	0.100259	0.063928	0.110803	0.057844	0.057844	0.067206	0.086294	0.042852	0.057844	0.038774	0.030197	0.142274	0.063928	0.100259	0.070651	0.165299	0.052340	0.045049	0.052340	0.095369	0.060810	0.100259	0.100259	0.122456	0.067206	0.045049	0.060810	0.036883	0.192050	0.090718	0.067206	0.128735	0.074274	0.049787	0.045049	0.049787	0.049787	0.070651	0.030197	0.116484	0.074274	0.045049	0.122456	0.078082	0.074274	0.045049	0.013569	0.045049	0.090718	0.063928	0.007083	0.063928	0.057844	0.082085	0.027324	0.040762	0.057844	0.018316	0.212248	0.135335	0.063928	0.074274	0.047359	0.078082	0.070651	0.082085	0.192050	0.031746	0.022371	0.027324	0.033373	0.052340	0.095369	0.040762	0.078082	0.049787	0.122456	0.035084	0.060810	0.142274	0.192050	0.022371	0.074274	0.031746	0.110803	0.028725	0.031746	0.057844	0.086294	0.067206	0.042852	0.038774	0.052340	0.082085	0.057844	0.036883	0.030197	0.023518	0.030197	0.040762	0.023518	0.033373	0.165299	0.116484	0.067206	0.031746	0.135335	0.246597	0.192050	0.078082	0.090718	0.013569	0.272532	0.259240	0.074274	0.067206	0.052340	0.078082	0.105399	0.045049	0.055023	0.036883	0.095369	0.142274	0.070651	0.086294	0.070651	0.095369	0.030197	0.100259	0.052340	0.033373	0.028725	0.030197	0.078082	0.045049	0.008652	0.030197	0.022371	0.045049	0.078082	0.033373	0.006409	0.057844	0.040762	0.135335	0.122456	0.063928	0.105399	0.212248	0.057844	0.212248	0.110803	0.078082	0.040762	0.040762	0.105399	0.182684	0.105399	0.074274	0.049787	0.078082	0.038774	0.036883	0.182684	0.047359	0.078082	0.042852	0.038774	0.049787
D00079	0.049787	0.045049	1.000000	0.027324	0.042852	0.246597	0.025991	0.035084	0.024724	0.030197	0.472367	0.018316	0.030197	0.047359	0.009562	0.033373	0.049787	0.015764	0.019255	0.009562	0.033373	0.016573	0.014996	0.040762	0.006409	0.027324	0.017422	0.057844	0.010567	0.060810	0.014996	0.035084	0.045049	0.030197	0.031746	0.020242	0.033373	0.007447	0.020242	0.100259	0.020242	0.010052	0.031746	0.024724	0.014996	0.003887	0.017422	0.016573	0.014264	0.024724	0.027324	0.030197	0.018316	0.030197	0.023518	0.060810	0.017422	0.015764	0.024724	0.028725	0.014264	0.031746	0.010567	0.013569	0.047359	0.038774	0.036883	0.023518	0.055023	0.031746	0.020242	0.023518	0.035084	0.022371	0.027324	0.030197	0.030197	0.024724	0.012277	0.016573	0.010052	0.028725	0.036883	0.022371	0.028725	0.027324	0.020242	0.018316	0.013569	0.011109	0.021280	0.100259	0.028725	0.020242	0.010052	0.036883	0.028725	0.022371	0.016573	0.007447	0.014996	0.020242	0.021280	0.003518	0.021280	0.019255	0.024724	0.013569	0.020242	0.017422	0.011109	0.038774	0.030197	0.019255	0.013569	0.023518	0.028725	0.023518	0.027324	0.047359	0.011679	0.007447	0.009095	0.011109	0.025991	0.035084	0.016573	0.031746	0.022371	0.022371	0.259240	0.027324	0.047359	0.038774	0.005517	0.024724	0.017422	0.030197	0.012907	0.011679	0.015764	0.028725	0.022371	0.015764	0.014264	0.019255	0.027324	0.023518	0.110803	0.012277	0.047359	0.008230	0.012277	0.007828	0.011109	0.033373	0.035084	0.022371	0.014264	0.033373	0.040762	0.038774	0.025991	0.030197	0.003698	0.074274	0.070651	0.033373	0.027324	0.019255	0.023518	0.031746	0.016573	0.014996	0.018316	0.028725	0.038774	0.021280	0.028725	0.028725	0.023518	0.011109	0.022371	0.014264	0.082085	0.173774	0.013569	0.025991	0.020242	0.004296	0.082085	0.011109	0.012277	0.031746	0.012277	0.003183	0.025991	0.013569	0.045049	0.030197	0.017422	0.038774	0.031746	0.011679	0.031746	0.040762	0.035084	0.011109	0.018316	0.028725	0.036883	0.035084	0.030197	0.018316	0.028725	0.012907	0.020242	0.165299	0.010567	0.017422	0.019255	0.019255	0.018316
D00094	0.082085	0.067206	0.027324	1.000000	0.052340	0.024724	0.035084	0.042852	0.033373	0.045049	0.031746	0.030197	0.040762	0.042852	0.011679	0.040762	0.060810	0.019255	0.025991	0.010567	0.055023	0.027324	0.027324	0.055023	0.008652	0.033373	0.025991	0.105399	0.015764	0.020242	0.024724	0.052340	0.049787	0.045049	0.038774	0.016573	0.055023	0.010052	0.024724	0.022371	0.027324	0.013569	0.025991	0.045049	0.022371	0.003887	0.031746	0.027324	0.028725	0.033373	0.036883	0.033373	0.024724	0.040762	0.038774	0.060810	0.023518	0.025991	0.030197	0.042852	0.017422	0.025991	0.014264	0.016573	0.078082	0.035084	0.055023	0.038774	0.082085	0.031746	0.018316	0.028725	0.063928	0.024724	0.033373	0.049787	0.045049	0.049787	0.018316	0.027324	0.013569	0.031746	0.033373	0.036883	0.038774	0.040762	0.036883	0.024724	0.018316	0.018316	0.025991	0.020242	0.035084	0.027324	0.011109	0.045049	0.031746	0.030197	0.022371	0.012277	0.024724	0.033373	0.031746	0.003887	0.031746	0.023518	0.049787	0.016573	0.030197	0.031746	0.009095	0.047359	0.045049	0.031746	0.014996	0.025991	0.070651	0.042852	0.033373	0.052340	0.017422	0.011109	0.018316	0.013569	0.023518	0.047359	0.022371	0.035084	0.040762	0.030197	0.019255	0.033373	0.063928	0.047359	0.010052	0.030197	0.019255	0.049787	0.014264	0.014264	0.019255	0.047359	0.030197	0.028725	0.017422	0.035084	0.030197	0.031746	0.020242	0.012277	0.010567	0.010052	0.018316	0.007083	0.012277	0.040762	0.042852	0.027324	0.012907	0.040762	0.049787	0.047359	0.047359	0.049787	0.003698	0.082085	0.070651	0.033373	0.027324	0.025991	0.028725	0.038774	0.020242	0.016573	0.016573	0.035084	0.042852	0.025991	0.042852	0.047359	0.042852	0.012277	0.027324	0.023518	0.020242	0.014264	0.016573	0.035084	0.018316	0.004748	0.022371	0.016573	0.016573	0.047359	0.014996	0.001930	0.028725	0.024724	0.067206	0.049787	0.021280	0.052340	0.035084	0.008652	0.031746	0.074274	0.038774	0.013569	0.016573	0.052340	0.045049	0.042852	0.036883	0.024724	0.028725	0.014264	0.030197	0.100259	0.017422	0.019255	0.025991	0.019255	0.024724
D00095	0.142274	0.234570	0.042852	0.052340	1.000000	0.038774	0.074274	0.090718	0.052340	0.105399	0.049787	0.057844	0.086294	0.074274	0.030197	0.116484	0.157237	0.067206	0.074274	0.024724	0.116484	0.057844	0.063928	0.157237	0.013569	0.057844	0.055023	0.110803	0.033373	0.038774	0.042852	0.100259	0.105399	0.105399	0.090718	0.035084	0.105399	0.019255	0.047359	0.038774	0.063928	0.023518	0.090718	0.078082	0.047359	0.008230	0.030197	0.078082	0.055023	0.052340	0.105399	0.116484	0.063928	0.116484	0.067206	0.116484	0.060810	0.067206	0.105399	0.100259	0.045049	0.090718	0.027324	0.025991	0.122456	0.067206	0.105399	0.055023	0.173774	0.060810	0.047359	0.060810	0.090718	0.078082	0.086294	0.105399	0.105399	0.057844	0.035084	0.070651	0.025991	0.182684	0.086294	0.070651	0.149569	0.078082	0.047359	0.057844	0.052340	0.035084	0.060810	0.023518	0.272532	0.142274	0.070651	0.234570	0.067206	0.070651	0.035084	0.010567	0.047359	0.086294	0.060810	0.006738	0.074274	0.045049	0.086294	0.023518	0.042852	0.060810	0.019255	0.904837	0.128735	0.082085	0.052340	0.036883	0.074274	0.055023	0.095369	0.100259	0.030197	0.025991	0.025991	0.035084	0.036883	0.110803	0.038774	0.074274	0.042852	0.078082	0.030197	0.070651	0.223130	0.548812	0.019255	0.116484	0.030197	0.116484	0.027324	0.027324	0.033373	0.074274	0.063928	0.033373	0.036883	0.067206	0.078082	0.067206	0.038774	0.023518	0.024724	0.023518	0.035084	0.014996	0.021280	0.427415	0.090718	0.057844	0.024724	0.349938	0.704688	0.548812	0.090718	0.086294	0.007828	0.128735	0.122456	0.063928	0.078082	0.060810	0.110803	0.332871	0.052340	0.052340	0.038774	0.122456	0.201897	0.067206	0.100259	0.110803	0.090718	0.023518	0.192050	0.055023	0.031746	0.030197	0.035084	0.074274	0.038774	0.008230	0.035084	0.021280	0.042852	0.090718	0.047359	0.004517	0.090718	0.057844	0.157237	0.086294	0.036883	0.100259	0.201897	0.040762	0.149569	0.078082	0.082085	0.042852	0.028725	0.110803	0.349938	0.082085	0.086294	0.042852	0.055023	0.030197	0.035084	0.157237	0.040762	0.149569	0.036883	0.049787	0.042852
D00106	0.045049	0.040762	0.246597	0.024724	0.038774	1.000000	0.025991	0.038774	0.020242	0.024724	0.234570	0.016573	0.024724	0.047359	0.007828	0.030197	0.045049	0.012907	0.017422	0.008652	0.030197	0.013569	0.013569	0.036883	0.007083	0.027324	0.015764	0.052340	0.009562	0.040762	0.013569	0.028725	0.040762	0.027324	0.031746	0.018316	0.030197	0.006097	0.014996	0.045049	0.016573	0.010052	0.028725	0.022371	0.012277	0.002880	0.014264	0.014996	0.012907	0.022371	0.024724	0.024724	0.016573	0.027324	0.021280	0.055023	0.015764	0.014264	0.022371	0.023518	0.011679	0.028725	0.009562	0.011109	0.042852	0.028725	0.030197	0.021280	0.049787	0.031746	0.016573	0.021280	0.031746	0.020242	0.024724	0.027324	0.027324	0.022371	0.012277	0.014996	0.009095	0.025991	0.033373	0.020242	0.025991	0.024724	0.018316	0.014996	0.012277	0.010052	0.019255	0.067206	0.023518	0.018316	0.008230	0.033373	0.031746	0.020242	0.014996	0.008230	0.013569	0.020242	0.021280	0.002880	0.021280	0.017422	0.022371	0.011109	0.020242	0.014264	0.011109	0.035084	0.027324	0.017422	0.012277	0.019255	0.023518	0.023518	0.024724	0.042852	0.010567	0.006738	0.008230	0.009095	0.021280	0.028725	0.013569	0.025991	0.018316	0.020242	0.173774	0.024724	0.042852	0.035084	0.005517	0.022371	0.017422	0.027324	0.010567	0.011679	0.014264	0.023518	0.020242	0.014264	0.011679	0.017422	0.020242	0.021280	0.045049	0.010052	0.031746	0.007447	0.011109	0.007083	0.010052	0.030197	0.035084	0.018316	0.012907	0.027324	0.036883	0.035084	0.023518	0.027324	0.002739	0.067206	0.063928	0.030197	0.024724	0.019255	0.021280	0.028725	0.014996	0.014996	0.016573	0.025991	0.035084	0.019255	0.025991	0.025991	0.021280	0.009095	0.022371	0.012907	0.135335	0.042852	0.012277	0.021280	0.016573	0.003518	0.036883	0.009095	0.011109	0.028725	0.010052	0.002606	0.023518	0.012277	0.040762	0.027324	0.015764	0.035084	0.028725	0.010567	0.028725	0.040762	0.031746	0.010052	0.016573	0.025991	0.033373	0.028725	0.027324	0.014996	0.023518	0.011679	0.016573	0.149569	0.009562	0.014264	0.015764	0.017422	0.014996
D00110	0.116484	0.070651	0.025991	0.035084	0.074274	0.025991	1.000000	0.165299	0.038774	0.052340	0.030197	0.042852	0.047359	0.067206	0.033373	0.057844	0.070651	0.040762	0.040762	0.024724	0.063928	0.042852	0.023518	0.086294	0.024724	0.023518	0.022371	0.067206	0.027324	0.038774	0.031746	0.060810	0.052340	0.063928	0.055023	0.025991	0.078082	0.023518	0.025991	0.025991	0.025991	0.017422	0.049787	0.078082	0.019255	0.006097	0.024724	0.028725	0.040762	0.052340	0.057844	0.057844	0.038774	0.063928	0.033373	0.052340	0.036883	0.030197	0.047359	0.055023	0.033373	0.055023	0.027324	0.019255	0.067206	0.049787	0.063928	0.067206	0.078082	0.036883	0.042852	0.049787	0.045049	0.042852	0.052340	0.057844	0.057844	0.031746	0.031746	0.031746	0.023518	0.045049	0.052340	0.042852	0.049787	0.042852	0.052340	0.023518	0.031746	0.031746	0.027324	0.017422	0.045049	0.047359	0.021280	0.057844	0.067206	0.038774	0.025991	0.011679	0.052340	0.042852	0.055023	0.009095	0.036883	0.030197	0.042852	0.025991	0.031746	0.030197	0.015764	0.067206	0.057844	0.027324	0.031746	0.036883	0.049787	0.074274	0.052340	0.055023	0.020242	0.019255	0.028725	0.023518	0.049787	0.060810	0.035084	0.067206	0.047359	0.057844	0.020242	0.057844	0.110803	0.060810	0.014264	0.042852	0.027324	0.063928	0.020242	0.020242	0.033373	0.049787	0.047359	0.040762	0.033373	0.040762	0.035084	0.055023	0.035084	0.021280	0.016573	0.021280	0.028725	0.011109	0.015764	0.052340	0.100259	0.038774	0.022371	0.052340	0.070651	0.060810	0.074274	0.052340	0.005799	0.070651	0.067206	0.047359	0.035084	0.049787	0.040762	0.060810	0.031746	0.023518	0.038774	0.055023	0.055023	0.045049	0.045049	0.060810	0.055023	0.017422	0.047359	0.040762	0.021280	0.024724	0.025991	0.040762	0.025991	0.011109	0.021280	0.021280	0.028725	0.074274	0.031746	0.003346	0.049787	0.021280	0.116484	0.047359	0.036883	0.074274	0.049787	0.014996	0.045049	0.070651	0.045049	0.023518	0.025991	0.055023	0.052340	0.067206	0.070651	0.023518	0.030197	0.024724	0.035084	0.086294	0.020242	0.036883	0.040762	0.024724	0.038774
D00113	0.116484	0.095369	0.035084	0.042852	0.090718	0.038774	0.165299	1.000000	0.047359	0.057844	0.040762	0.047359	0.063928	0.135335	0.033373	0.070651	0.105399	0.045049	0.055023	0.024724	0.086294	0.047359	0.028725	0.142274	0.149569	0.031746	0.030197	0.090718	0.027324	0.047359	0.047359	0.074274	0.063928	0.086294	0.149569	0.035084	0.078082	0.025991	0.035084	0.028725	0.035084	0.021280	0.060810	0.078082	0.025991	0.009095	0.027324	0.038774	0.045049	0.078082	0.078082	0.070651	0.052340	0.086294	0.045049	0.070651	0.055023	0.040762	0.063928	0.067206	0.055023	0.082085	0.033373	0.025991	0.100259	0.060810	0.078082	0.090718	0.095369	0.040762	0.070651	0.060810	0.060810	0.052340	0.057844	0.078082	0.070651	0.038774	0.031746	0.035084	0.028725	0.049787	0.057844	0.052340	0.082085	0.063928	0.070651	0.031746	0.042852	0.035084	0.036883	0.025991	0.060810	0.047359	0.028725	0.070651	0.332871	0.042852	0.031746	0.015764	0.052340	0.047359	0.074274	0.010052	0.045049	0.045049	0.057844	0.035084	0.035084	0.040762	0.019255	0.082085	0.063928	0.036883	0.031746	0.045049	0.060810	0.110803	0.070651	0.067206	0.027324	0.021280	0.031746	0.031746	0.067206	0.100259	0.042852	0.082085	0.052340	0.057844	0.030197	0.070651	0.149569	0.074274	0.017422	0.052340	0.033373	0.078082	0.024724	0.022371	0.045049	0.060810	0.057844	0.049787	0.049787	0.049787	0.047359	0.074274	0.038774	0.023518	0.022371	0.025991	0.042852	0.013569	0.019255	0.063928	0.223130	0.038774	0.022371	0.070651	0.086294	0.074274	0.082085	0.063928	0.008652	0.095369	0.090718	0.070651	0.042852	0.055023	0.049787	0.074274	0.042852	0.028725	0.052340	0.060810	0.082085	0.055023	0.055023	0.074274	0.060810	0.021280	0.052340	0.049787	0.031746	0.030197	0.031746	0.060810	0.031746	0.012277	0.023518	0.025991	0.035084	0.090718	0.035084	0.004517	0.060810	0.025991	0.173774	0.057844	0.049787	0.110803	0.055023	0.020242	0.049787	0.078082	0.060810	0.035084	0.028725	0.060810	0.070651	0.082085	0.095369	0.031746	0.040762	0.030197	0.038774	0.116484	0.027324	0.049787	0.055023	0.027324	0.038774
D00136	0.082085	0.060810	0.024724	0.033373	0.052340	0.020242	0.038774	0.047359	1.000000	0.036883	0.025991	0.036883	0.049787	0.035084	0.035084	0.036883	0.100259	0.019255	0.052340	0.038774	0.067206	0.049787	0.020242	0.049787	0.014264	0.022371	0.028725	0.078082	0.021280	0.022371	0.040762	0.057844	0.049787	0.045049	0.035084	0.018316	0.055023	0.012277	0.020242	0.022371	0.024724	0.024724	0.028725	0.036883	0.016573	0.003518	0.021280	0.024724	0.031746	0.027324	0.040762	0.033373	0.074274	0.045049	0.035084	0.049787	0.078082	0.023518	0.030197	0.038774	0.023518	0.047359	0.015764	0.022371	0.057844	0.038774	0.055023	0.031746	0.082085	0.023518	0.060810	0.038774	0.063928	0.022371	0.030197	0.060810	0.067206	0.040762	0.020242	0.027324	0.014996	0.031746	0.030197	0.030197	0.031746	0.045049	0.049787	0.022371	0.024724	0.018316	0.023518	0.018316	0.031746	0.030197	0.011109	0.040762	0.028725	0.033373	0.020242	0.008230	0.030197	0.036883	0.052340	0.005248	0.038774	0.035084	0.036883	0.030197	0.030197	0.035084	0.010052	0.047359	0.036883	0.028725	0.016573	0.212248	0.047359	0.031746	0.036883	0.057844	0.038774	0.013569	0.018316	0.020242	0.028725	0.052340	0.033373	0.047359	0.033373	0.036883	0.019255	0.045049	0.057844	0.042852	0.016573	0.033373	0.017422	0.040762	0.021280	0.015764	0.025991	0.047359	0.036883	0.052340	0.052340	0.042852	0.024724	0.042852	0.020242	0.013569	0.014264	0.016573	0.018316	0.019255	0.012277	0.036883	0.035084	0.030197	0.017422	0.036883	0.049787	0.042852	0.052340	0.074274	0.003346	0.067206	0.070651	0.033373	0.024724	0.047359	0.025991	0.038774	0.040762	0.018316	0.022371	0.031746	0.042852	0.038774	0.028725	0.047359	0.035084	0.012277	0.027324	0.025991	0.018316	0.015764	0.018316	0.042852	0.020242	0.006409	0.018316	0.024724	0.036883	0.052340	0.014996	0.001930	0.025991	0.018316	0.074274	0.067206	0.028725	0.095369	0.035084	0.009562	0.031746	0.055023	0.042852	0.024724	0.022371	0.057844	0.040762	0.035084	0.049787	0.027324	0.025991	0.015764	0.030197	0.090718	0.017422	0.019255	0.042852	0.017422	0.027324
D00139	0.110803	0.100259	0.030197	0.045049	0.105399	0.024724	0.052340	0.057844	0.036883	1.000000	0.035084	0.049787	0.074274	0.063928	0.028725	0.060810	0.082085	0.038774	0.052340	0.021280	0.090718	0.045049	0.036883	0.100259	0.008652	0.036883	0.047359	0.095369	0.028725	0.027324	0.033373	0.095369	0.067206	0.067206	0.052340	0.022371	0.082085	0.014996	0.049787	0.030197	0.049787	0.027324	0.042852	0.067206	0.033373	0.004748	0.031746	0.049787	0.042852	0.040762	0.067206	0.060810	0.045049	0.074274	0.038774	0.090718	0.038774	0.042852	0.049787	0.078082	0.038774	0.038774	0.023518	0.024724	0.095369	0.063928	0.100259	0.052340	0.122456	0.047359	0.030197	0.047359	0.078082	0.036883	0.049787	0.082085	0.067206	0.055023	0.055023	0.045049	0.020242	0.063928	0.049787	0.055023	0.063928	0.040762	0.033373	0.045049	0.033373	0.024724	0.035084	0.018316	0.063928	0.049787	0.022371	0.074274	0.052340	0.060810	0.040762	0.011109	0.036883	0.082085	0.038774	0.005248	0.052340	0.025991	0.060810	0.022371	0.036883	0.063928	0.011109	0.095369	0.100259	0.042852	0.045049	0.028725	0.070651	0.052340	0.060810	0.057844	0.028725	0.027324	0.022371	0.030197	0.028725	0.057844	0.030197	0.052340	0.036883	0.045049	0.021280	0.055023	0.095369	0.086294	0.016573	0.055023	0.017422	0.067206	0.023518	0.028725	0.025991	0.063928	0.049787	0.028725	0.031746	0.038774	0.067206	0.047359	0.033373	0.018316	0.019255	0.014996	0.024724	0.014264	0.013569	0.074274	0.070651	0.036883	0.017422	0.074274	0.082085	0.086294	0.070651	0.055023	0.004517	0.082085	0.078082	0.049787	0.040762	0.052340	0.047359	0.078082	0.036883	0.045049	0.022371	0.063928	0.070651	0.042852	0.057844	0.057844	0.095369	0.016573	0.067206	0.035084	0.018316	0.021280	0.027324	0.057844	0.040762	0.006409	0.022371	0.016573	0.024724	0.070651	0.030197	0.003183	0.042852	0.033373	0.100259	0.055023	0.028725	0.063928	0.070651	0.017422	0.052340	0.060810	0.070651	0.020242	0.022371	0.078082	0.082085	0.057844	0.060810	0.030197	0.057844	0.021280	0.045049	0.110803	0.028725	0.035084	0.035084	0.038774	0.040762
