	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1.000000	0.170732	0.076923	0.090909	0.093023	0.074627	0.188679	0.156863	0.122807	0.083333	0.080645	0.107143	0.083333	0.057692	0.069444	0.115385	0.170732	0.078125	0.072727	0.075949	0.128205	0.087719	0.066667	0.121951	0.089888	0.046154	0.086207	0.102564	0.082192	0.117647	0.161290	0.093023	0.125000	0.083333	0.229167	0.134328	0.515152	0.095238	0.062500	0.058824	0.081967	0.064935	0.086207	0.137255	0.076923	0.077670	0.089552	0.068966	0.086207	0.137931	0.083333	0.094340	0.068966	0.086957	0.065574	0.045455	0.086207	0.135593	0.090909	0.108696	0.109375	0.101695	0.144928	0.083333	0.102564	0.117647	0.095238	0.145455	0.000000	0.035088	0.093750	0.134615	0.081633	0.064516	0.122807	0.121951	0.155556	0.035714	0.121212	0.100000	0.138889	0.075472	0.122807	0.094340	0.117647	0.185185	0.129032	0.079365	0.060606	0.225806	0.112903	0.055556	0.092593	0.118644	0.120000	0.083333	0.140351	0.087719	0.088235	0.033708	0.111111	0.083333	0.109091	0.067308	0.072727	0.102941	0.074074	0.108108	0.062500	0.070175	0.084337	0.088889	0.083333	0.089286	0.074627	0.163934	0.060000	0.173077	0.080000	0.088889	0.071429	0.123288	0.159420	0.088235	0.126984	0.104167	0.161290	0.100000	0.133333	0.240000	0.056338	0.076923	0.184211	0.085106	0.200000	0.071429	0.109589	0.148936	0.109589	0.080000	0.119403	0.122449	0.098039	0.123077	0.075758	0.145455	0.163636	0.072727	0.114286	0.105263	0.087500	0.086420	0.085714	0.079545	0.116883	0.098039	0.156863	0.157895	0.185714	0.080000	0.148936	0.085106	0.085106	0.041667	0.076923	0.100000	0.102564	0.192308	0.096774	0.089286	0.070175	0.117647	0.064516	0.046154	0.101449	0.075472	0.085106	0.160714	0.089286	0.078431	0.134615	0.105263	0.071429	0.078125	0.070423	0.106667	0.107692	0.096154	0.121212	0.070000	0.054054	0.090909	0.151515	0.275000	0.085714	0.068376	0.067797	0.064516	0.128205	0.142857	0.123077	0.133333	0.078431	0.085366	0.125000	0.090909	0.081633	0.126761	0.200000	0.113636	0.083333	0.156863	0.080000	0.088235	0.120690	0.144928	0.090909	0.117647	0.106061	0.095238	0.123077	0.059701	0.076923
D00059	0.170732	1.000000	0.101449	0.100000	0.292683	0.098592	0.131148	0.160714	0.111111	0.115385	0.106061	0.079365	0.094340	0.109091	0.077922	0.207547	0.227273	0.086957	0.083333	0.109756	0.063830	0.062500	0.060606	0.130435	0.095745	0.138462	0.131148	0.139535	0.133333	0.138889	0.114286	0.060000	0.132075	0.094340	0.181818	0.171429	0.120000	0.088889	0.121212	0.083333	0.090909	0.086420	0.095238	0.122807	0.070423	0.158416	0.082192	0.133333	0.061538	0.125000	0.094340	0.103448	0.079365	0.098039	0.126984	0.083333	0.095238	0.123077	0.100000	0.075472	0.100000	0.109375	0.133333	0.090909	0.113636	0.067797	0.061224	0.131148	0.027027	0.048387	0.101449	0.048387	0.113208	0.125000	0.206897	0.061224	0.160000	0.084746	0.126761	0.125000	0.142857	0.312500	0.186441	0.084746	0.211538	0.147541	0.117647	0.088235	0.117647	0.154930	0.171875	0.078947	0.203704	0.161290	0.184211	0.160000	0.163934	0.133333	0.126761	0.065217	0.101449	0.094340	0.098361	0.083333	0.083333	0.173913	0.122807	0.100000	0.072464	0.080645	0.090909	0.279070	0.183673	0.098361	0.200000	0.115942	0.072727	0.116667	0.090909	0.250000	0.080000	0.073171	0.088608	0.081081	0.132353	0.113208	0.098592	0.089286	0.104478	0.236364	0.094595	0.050847	0.133333	0.266667	0.116279	0.118644	0.115385	0.153846	0.101266	0.115385	0.173913	0.109091	0.068966	0.112676	0.084507	0.078125	0.166667	0.065574	0.120000	0.125000	0.107143	0.146341	0.123288	0.147727	0.150000	0.265306	0.203704	0.142857	0.126582	0.200000	0.363636	0.266667	0.055556	0.076923	0.156863	0.315789	0.289474	0.133333	0.156250	0.063492	0.135593	0.166667	0.074627	0.121212	0.108108	0.145455	0.187500	0.145161	0.155172	0.070175	0.160714	0.125000	0.178571	0.119403	0.093333	0.112500	0.054054	0.105263	0.126761	0.086538	0.090909	0.084337	0.138889	0.055556	0.093333	0.129310	0.095238	0.058824	0.111111	0.192308	0.179104	0.117647	0.326087	0.250000	0.380000	0.102041	0.072727	0.146667	0.135135	0.100000	0.260870	0.181818	0.071429	0.142857	0.163934	0.133333	0.083333	0.128205	0.128571	0.190476	0.112676	0.084507	0.117647
D00079	0.076923	0.101449	1.000000	0.100000	0.086957	0.562500	0.109756	0.129870	0.108434	0.066667	0.727273	0.058824	0.066667	0.152778	0.060606	0.116883	0.117647	0.077778	0.048193	0.097087	0.028571	0.046512	0.045455	0.072464	0.106195	0.142857	0.058140	0.109375	0.080808	0.300000	0.086957	0.056338	0.138889	0.066667	0.115385	0.142857	0.068493	0.100917	0.103448	0.369863	0.093023	0.089109	0.137500	0.075000	0.076923	0.112000	0.109890	0.046512	0.034091	0.119048	0.052632	0.102564	0.058824	0.054054	0.107143	0.138462	0.058140	0.067416	0.086420	0.053333	0.076087	0.148148	0.080808	0.104167	0.075758	0.133333	0.057143	0.096386	0.016949	0.115385	0.113636	0.074074	0.094595	0.105882	0.121951	0.027778	0.066667	0.075000	0.073684	0.068182	0.089109	0.089744	0.164557	0.061728	0.089744	0.121951	0.113636	0.090909	0.065217	0.072165	0.114943	0.386667	0.101266	0.093023	0.098039	0.095890	0.134146	0.084337	0.108696	0.100917	0.076923	0.012658	0.072289	0.103175	0.060976	0.131868	0.075000	0.122449	0.103448	0.047059	0.134615	0.084507	0.066667	0.059524	0.075269	0.137931	0.065789	0.085366	0.064935	0.115942	0.072917	0.057692	0.069307	0.062500	0.151163	0.094595	0.098901	0.092105	0.116279	0.084337	0.584615	0.076923	0.089552	0.097222	0.063063	0.086420	0.147368	0.078947	0.112245	0.101010	0.107527	0.077922	0.050000	0.097826	0.076087	0.070588	0.121951	0.074074	0.413333	0.120000	0.306818	0.094340	0.083333	0.118182	0.117647	0.105263	0.129870	0.105882	0.132653	0.093333	0.123288	0.097222	0.039474	0.054054	0.111111	0.161290	0.145161	0.139241	0.142857	0.059524	0.085366	0.103896	0.068182	0.066667	0.130435	0.089744	0.097222	0.094118	0.112500	0.077922	0.074074	0.108911	0.073171	0.065934	0.350649	0.520548	0.075269	0.075949	0.133333	0.106557	0.358974	0.108911	0.083333	0.067568	0.083333	0.141791	0.109756	0.044444	0.074627	0.090909	0.109890	0.097222	0.092105	0.135922	0.137500	0.085714	0.094595	0.090909	0.139785	0.040541	0.095890	0.129870	0.078947	0.120879	0.134146	0.103093	0.123596	0.294118	0.052083	0.089888	0.122222	0.112360	0.101124
D00094	0.090909	0.100000	0.100000	1.000000	0.048387	0.097561	0.094595	0.100000	0.093333	0.060606	0.103896	0.066667	0.044776	0.073529	0.032609	0.085714	0.081967	0.048193	0.026667	0.061856	0.033333	0.052632	0.064935	0.049180	0.095238	0.116883	0.051948	0.150943	0.077778	0.093023	0.097561	0.048387	0.090909	0.060606	0.084507	0.068182	0.079365	0.089109	0.075000	0.084337	0.076923	0.075269	0.051948	0.101449	0.073171	0.075000	0.137500	0.052632	0.065789	0.105263	0.029412	0.055556	0.038961	0.030303	0.121622	0.066667	0.038462	0.075949	0.054054	0.045455	0.047059	0.064103	0.065934	0.078652	0.089286	0.056338	0.049180	0.109589	0.000000	0.054795	0.047619	0.040541	0.126984	0.063291	0.093333	0.032258	0.060606	0.117647	0.069767	0.076923	0.075269	0.041667	0.093333	0.070423	0.071429	0.123288	0.142857	0.075000	0.047619	0.080460	0.087500	0.093023	0.069444	0.076923	0.062500	0.060606	0.092105	0.066667	0.095238	0.111111	0.086420	0.014493	0.067568	0.075000	0.054795	0.107143	0.117647	0.098901	0.102564	0.067568	0.069307	0.046875	0.060606	0.067568	0.034483	0.098765	0.145161	0.112676	0.028571	0.063492	0.068966	0.052632	0.101124	0.033708	0.085366	0.075758	0.084337	0.042857	0.146667	0.066667	0.081395	0.042254	0.067797	0.061538	0.080000	0.054054	0.112360	0.090909	0.076087	0.076087	0.081395	0.089552	0.027778	0.123457	0.047059	0.094595	0.078947	0.054795	0.103448	0.073684	0.071429	0.070707	0.080460	0.066038	0.083333	0.072464	0.100000	0.076923	0.074468	0.058824	0.090909	0.061538	0.061538	0.062500	0.074380	0.107143	0.070175	0.081081	0.088608	0.039474	0.053333	0.071429	0.037037	0.023810	0.068182	0.056338	0.045455	0.064103	0.112676	0.089552	0.100000	0.073684	0.040000	0.074074	0.093023	0.086022	0.046512	0.056338	0.069767	0.077586	0.116279	0.108696	0.068182	0.061538	0.056180	0.067164	0.065789	0.063291	0.068966	0.104478	0.083333	0.078125	0.042857	0.059406	0.080000	0.118644	0.044118	0.065217	0.078652	0.063492	0.060606	0.100000	0.043478	0.108434	0.077922	0.065934	0.125000	0.098039	0.058140	0.048193	0.109756	0.059524	0.086420
D00095	0.093023	0.292683	0.086957	0.048387	1.000000	0.084507	0.133333	0.142857	0.078125	0.117647	0.090909	0.080645	0.075472	0.071429	0.078947	0.188679	0.177778	0.156250	0.103448	0.097561	0.065217	0.080645	0.112903	0.159091	0.085106	0.123077	0.079365	0.043478	0.105263	0.109589	0.100000	0.061224	0.134615	0.117647	0.142857	0.094595	0.100000	0.102273	0.089552	0.084507	0.126984	0.074074	0.172414	0.105263	0.102941	0.094340	0.054054	0.135593	0.079365	0.092308	0.117647	0.188679	0.098361	0.122449	0.129032	0.085106	0.096774	0.142857	0.181818	0.098039	0.101449	0.186441	0.076923	0.064103	0.066667	0.068966	0.062500	0.079365	0.027778	0.066667	0.102941	0.066667	0.094340	0.163934	0.169492	0.062500	0.117647	0.050000	0.082192	0.145161	0.087500	0.291667	0.169492	0.086207	0.240000	0.150000	0.102941	0.123077	0.119403	0.094595	0.138462	0.038462	0.422222	0.290909	0.253521	0.325581	0.129032	0.116667	0.082192	0.031915	0.102941	0.075472	0.081967	0.074074	0.103448	0.126761	0.125000	0.074074	0.073529	0.081967	0.091954	0.928571	0.163265	0.137931	0.132353	0.070423	0.054545	0.064516	0.113208	0.080000	0.066667	0.087500	0.075949	0.082192	0.070423	0.137255	0.084507	0.071429	0.073529	0.135593	0.066667	0.070175	0.250000	0.647059	0.091954	0.203704	0.102564	0.156863	0.088608	0.088608	0.081081	0.071429	0.051724	0.068493	0.070423	0.114754	0.150000	0.084746	0.121622	0.085366	0.108434	0.107143	0.094595	0.086957	0.083333	0.564103	0.142857	0.109375	0.086420	0.475000	0.787879	0.647059	0.076923	0.057692	0.093458	0.088889	0.066667	0.098361	0.177419	0.081967	0.200000	0.476190	0.092308	0.106061	0.109589	0.192308	0.272727	0.129032	0.178571	0.153846	0.142857	0.085366	0.326531	0.121212	0.080000	0.113924	0.069444	0.087719	0.097222	0.076923	0.106667	0.072289	0.125000	0.076923	0.140845	0.092437	0.172414	0.109375	0.139535	0.109091	0.083333	0.098039	0.304348	0.189873	0.283019	0.019231	0.074074	0.148649	0.077922	0.102041	0.461538	0.122807	0.092593	0.112676	0.093750	0.090909	0.069444	0.075000	0.098592	0.321429	0.083333	0.117647	0.086957
D00106	0.074627	0.098592	0.562500	0.097561	0.084507	1.000000	0.120482	0.155844	0.093023	0.051282	0.539683	0.057471	0.051282	0.164384	0.049020	0.113924	0.114286	0.064516	0.047059	0.095238	0.027778	0.033708	0.044444	0.070423	0.123894	0.152941	0.056818	0.106061	0.079208	0.247059	0.085106	0.040541	0.135135	0.064935	0.126582	0.139785	0.066667	0.089286	0.076923	0.243902	0.078652	0.098039	0.134146	0.073171	0.063830	0.093023	0.095745	0.045455	0.033333	0.116279	0.051282	0.086420	0.057471	0.052632	0.104651	0.134328	0.056818	0.065934	0.084337	0.038462	0.063158	0.144578	0.079208	0.090909	0.073529	0.101266	0.041096	0.094118	0.016393	0.126582	0.098901	0.072289	0.092105	0.103448	0.119048	0.027027	0.064935	0.073171	0.083333	0.066667	0.087379	0.087500	0.160494	0.060241	0.087500	0.119048	0.111111	0.076923	0.063830	0.070707	0.112360	0.325000	0.085366	0.090909	0.085714	0.093333	0.158537	0.082353	0.106383	0.119266	0.075269	0.025000	0.083333	0.093023	0.072289	0.129032	0.073171	0.108911	0.113636	0.034091	0.142857	0.082192	0.064935	0.058140	0.073684	0.122222	0.050633	0.096386	0.063291	0.112676	0.071429	0.056604	0.067961	0.050505	0.134831	0.077922	0.085106	0.075949	0.101124	0.082353	0.500000	0.075000	0.086957	0.094595	0.071429	0.084337	0.156250	0.076923	0.099010	0.110000	0.105263	0.062500	0.048780	0.095745	0.063158	0.068966	0.093023	0.072289	0.270588	0.106796	0.258065	0.092593	0.081633	0.116071	0.115385	0.102564	0.141026	0.090909	0.130000	0.076923	0.120000	0.094595	0.038462	0.052632	0.092308	0.156250	0.140625	0.135802	0.139535	0.070588	0.083333	0.101266	0.066667	0.076923	0.127660	0.087500	0.094595	0.091954	0.109756	0.075949	0.072289	0.096154	0.084337	0.064516	0.452055	0.284091	0.073684	0.060976	0.118280	0.096000	0.241379	0.096154	0.081633	0.065789	0.070707	0.131387	0.107143	0.043478	0.072464	0.088608	0.107527	0.094595	0.089744	0.133333	0.134146	0.098592	0.092105	0.089109	0.136842	0.039474	0.093333	0.112500	0.076923	0.106383	0.117647	0.101010	0.108696	0.283019	0.051020	0.076087	0.107527	0.109890	0.086957
D00110	0.188679	0.131148	0.109756	0.094595	0.133333	0.120482	1.000000	0.379310	0.133333	0.106061	0.113924	0.136986	0.089552	0.169231	0.180723	0.161765	0.131148	0.168831	0.111111	0.177778	0.083333	0.136986	0.062500	0.155172	0.229167	0.085366	0.050000	0.084746	0.162791	0.197531	0.148148	0.096774	0.119403	0.140625	0.159420	0.141176	0.163934	0.202128	0.098765	0.120482	0.087500	0.119565	0.166667	0.215385	0.070588	0.128205	0.119048	0.077922	0.135135	0.191781	0.123077	0.161765	0.121622	0.126984	0.116883	0.063492	0.120000	0.113924	0.140845	0.107692	0.150000	0.194444	0.162791	0.112360	0.084746	0.130435	0.098361	0.217391	0.019231	0.095890	0.181818	0.142857	0.088235	0.160000	0.180556	0.080645	0.123077	0.067568	0.158537	0.115385	0.157303	0.114286	0.180556	0.112676	0.130435	0.148649	0.213333	0.085366	0.137500	0.168675	0.111111	0.089888	0.126761	0.175676	0.153846	0.123077	0.228571	0.121622	0.130952	0.118812	0.213333	0.073529	0.171429	0.168142	0.095890	0.156627	0.112676	0.170455	0.126582	0.078947	0.144330	0.129032	0.123077	0.064935	0.148148	0.164557	0.104478	0.223881	0.119403	0.093750	0.103448	0.131868	0.174419	0.117647	0.210526	0.138462	0.162500	0.169231	0.186667	0.185714	0.103448	0.149254	0.200000	0.125000	0.132653	0.125000	0.172414	0.153846	0.133333	0.133333	0.170732	0.117647	0.115942	0.189873	0.150000	0.135135	0.118421	0.159420	0.192771	0.153846	0.136842	0.172043	0.154762	0.126214	0.126316	0.132353	0.269841	0.144737	0.155556	0.119403	0.171875	0.125000	0.161290	0.092308	0.127119	0.101695	0.084746	0.152778	0.141026	0.154930	0.123288	0.164179	0.115385	0.085366	0.197531	0.147059	0.107692	0.162162	0.138889	0.151515	0.159420	0.129032	0.140845	0.168831	0.114943	0.168539	0.120482	0.098592	0.130952	0.174312	0.125000	0.153846	0.154762	0.161290	0.168675	0.123077	0.166667	0.060976	0.203704	0.115942	0.175000	0.161290	0.117647	0.134021	0.150685	0.131148	0.088235	0.147727	0.151163	0.093750	0.106061	0.194030	0.171875	0.117647	0.102564	0.149425	0.162500	0.092593	0.093023	0.153846	0.189873	0.108434	0.166667
D00113	0.156863	0.160714	0.129870	0.100000	0.142857	0.155844	0.379310	1.000000	0.140845	0.095238	0.135135	0.128571	0.112903	0.285714	0.160494	0.171875	0.181818	0.162162	0.134328	0.159091	0.109091	0.128571	0.065789	0.235294	0.500000	0.103896	0.066667	0.111111	0.142857	0.207792	0.186667	0.103448	0.126984	0.169492	0.333333	0.162500	0.135593	0.197802	0.118421	0.112500	0.106667	0.125000	0.176471	0.190476	0.087500	0.153153	0.111111	0.097222	0.126761	0.238806	0.150000	0.171875	0.144928	0.155172	0.138889	0.086207	0.159420	0.135135	0.166667	0.114754	0.205479	0.242424	0.170732	0.130952	0.132075	0.138462	0.105263	0.250000	0.020833	0.085714	0.242857	0.151515	0.111111	0.169014	0.173913	0.105263	0.131148	0.071429	0.137500	0.106667	0.164706	0.104478	0.173913	0.119403	0.193548	0.191176	0.242857	0.103896	0.160000	0.162500	0.131579	0.120482	0.151515	0.152778	0.174419	0.131148	0.576923	0.112676	0.137500	0.135417	0.191781	0.061538	0.200000	0.163636	0.101449	0.194805	0.136364	0.192771	0.118421	0.098592	0.150538	0.137931	0.112903	0.083333	0.126582	0.173333	0.111111	0.278689	0.145161	0.100000	0.121951	0.125000	0.168675	0.137500	0.239437	0.206897	0.171053	0.180328	0.180556	0.161765	0.135802	0.158730	0.240000	0.133333	0.138298	0.132353	0.180723	0.163934	0.139535	0.126437	0.194805	0.125000	0.123077	0.200000	0.189189	0.142857	0.140845	0.187500	0.187500	0.147727	0.155556	0.179775	0.192308	0.131313	0.131868	0.140625	0.433962	0.121622	0.136364	0.145161	0.183333	0.133333	0.152542	0.098361	0.151786	0.129630	0.111111	0.196970	0.148649	0.147059	0.130435	0.174603	0.136986	0.089744	0.223684	0.138462	0.152542	0.171429	0.147059	0.161290	0.151515	0.134831	0.132353	0.178082	0.148148	0.176471	0.126582	0.138462	0.137500	0.169811	0.117647	0.160920	0.162500	0.172414	0.162500	0.136000	0.176471	0.064103	0.270833	0.123077	0.200000	0.214286	0.107692	0.152174	0.142857	0.120690	0.111111	0.182927	0.144578	0.081967	0.131148	0.206349	0.203390	0.137500	0.123288	0.156627	0.155844	0.122449	0.111111	0.178082	0.216216	0.100000	0.144737
D00136	0.122807	0.111111	0.108434	0.093333	0.078125	0.093023	0.133333	0.140845	1.000000	0.057143	0.098765	0.120000	0.104478	0.069444	0.192771	0.095890	0.206897	0.070588	0.157143	0.244186	0.100000	0.166667	0.048780	0.062500	0.166667	0.084337	0.089744	0.120690	0.134831	0.126437	0.189873	0.095238	0.117647	0.088235	0.094595	0.101124	0.107692	0.128713	0.071429	0.105882	0.086420	0.168539	0.089744	0.095890	0.057471	0.081301	0.104651	0.063291	0.103896	0.100000	0.072464	0.081081	0.235294	0.074627	0.129870	0.062500	0.250000	0.085366	0.078947	0.057971	0.107143	0.175676	0.097826	0.136364	0.065574	0.097222	0.079365	0.103896	0.038462	0.038462	0.243243	0.109589	0.153846	0.073171	0.102564	0.096774	0.156250	0.111111	0.103448	0.100000	0.106383	0.067568	0.102564	0.066667	0.067568	0.162162	0.210526	0.084337	0.108434	0.101124	0.096386	0.101124	0.080000	0.113924	0.081633	0.072464	0.101266	0.105263	0.103448	0.085714	0.135802	0.057143	0.169014	0.117647	0.109589	0.182927	0.095890	0.195402	0.125000	0.106667	0.098039	0.075758	0.057143	0.077922	0.068182	0.500000	0.102941	0.092105	0.070423	0.109375	0.197531	0.094737	0.120879	0.103448	0.134146	0.119403	0.160494	0.115942	0.139241	0.120000	0.102273	0.114286	0.080645	0.073529	0.154639	0.093333	0.119565	0.085714	0.144444	0.107527	0.141176	0.115942	0.083333	0.233766	0.223684	0.148649	0.075000	0.125000	0.123596	0.104167	0.123711	0.145833	0.101124	0.193878	0.102041	0.083333	0.094595	0.113924	0.129032	0.070423	0.117647	0.073529	0.106061	0.161290	0.080645	0.100000	0.101695	0.105263	0.097561	0.152778	0.064103	0.097222	0.157895	0.058824	0.126437	0.067568	0.073529	0.144737	0.077922	0.115942	0.094595	0.092784	0.064935	0.109756	0.101124	0.117021	0.080460	0.112676	0.103448	0.121739	0.111111	0.177778	0.195122	0.106061	0.076923	0.080882	0.075949	0.047619	0.118644	0.181818	0.144578	0.216667	0.069444	0.088235	0.103896	0.093750	0.086957	0.159091	0.136364	0.109375	0.072464	0.094595	0.117647	0.142857	0.087500	0.097826	0.146341	0.111111	0.079545	0.070588	0.202532	0.068966	0.121951
D00139	0.083333	0.115385	0.066667	0.060606	0.117647	0.051282	0.106061	0.095238	0.057143	1.000000	0.069444	0.090909	0.087719	0.083333	0.101266	0.096774	0.074074	0.097222	0.078125	0.104651	0.058824	0.074627	0.057143	0.098039	0.059406	0.083333	0.089552	0.060000	0.112500	0.088608	0.093333	0.096154	0.084746	0.068966	0.078125	0.061728	0.090909	0.096774	0.130435	0.078947	0.117647	0.121951	0.073529	0.114754	0.081081	0.061404	0.092105	0.090909	0.073529	0.085714	0.068966	0.096774	0.074627	0.071429	0.071429	0.076923	0.057971	0.100000	0.076923	0.089286	0.109589	0.071429	0.085366	0.086420	0.060000	0.098361	0.098039	0.106061	0.000000	0.061538	0.066667	0.061538	0.105263	0.070423	0.104478	0.056604	0.068966	0.079365	0.183099	0.101449	0.082353	0.098361	0.104478	0.079365	0.098361	0.072464	0.081081	0.114286	0.081081	0.075000	0.082192	0.036145	0.112903	0.117647	0.105882	0.087719	0.119403	0.125000	0.135135	0.062500	0.095890	0.107143	0.044118	0.070796	0.078125	0.075949	0.096774	0.095238	0.083333	0.126984	0.052632	0.113208	0.148148	0.059701	0.138889	0.065789	0.086207	0.092308	0.066667	0.017241	0.089744	0.121951	0.084337	0.090909	0.065789	0.050000	0.078947	0.048387	0.083333	0.074627	0.049383	0.064516	0.078431	0.109091	0.098901	0.093750	0.058140	0.084746	0.096386	0.123457	0.075949	0.083333	0.047619	0.077922	0.080000	0.057971	0.156250	0.061538	0.128205	0.080460	0.102273	0.076923	0.075000	0.105263	0.054945	0.118644	0.131148	0.070423	0.068966	0.103448	0.122807	0.109091	0.070175	0.016949	0.060870	0.038462	0.019231	0.090909	0.098592	0.092308	0.075758	0.135593	0.070423	0.114286	0.061728	0.098361	0.070175	0.086957	0.109375	0.065574	0.189655	0.068182	0.129032	0.082192	0.036145	0.094118	0.064935	0.080645	0.135135	0.073394	0.073171	0.068182	0.075000	0.070175	0.102564	0.080000	0.073529	0.055556	0.080000	0.064516	0.077922	0.051724	0.101695	0.100000	0.106061	0.017544	0.086207	0.071429	0.073171	0.072727	0.107143	0.095238	0.066667	0.090909	0.136364	0.072289	0.138889	0.043478	0.077922	0.082192	0.106667	0.109589	0.111111
