	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172
D00035	1.000000	0.309091	0.333333	0.333333	0.238806	0.186441	0.318841	0.306452	0.287879	0.183673	0.291667	0.206349	0.193548	0.121622	0.301887	0.236364	0.260000	0.217391	0.263889	0.571429	0.297297	0.246914	0.203125	0.166667	0.226667	0.222222	0.270270	0.142857	0.254902	0.265625	0.305085	0.200000	0.295775	0.268657	0.259259	0.185185	0.250000	0.187500	0.205479	0.294118	0.285714	0.272727	0.272727	0.326923	0.150000	0.241379	0.271186	0.272727	0.307692	0.420000	0.129870	0.387755	0.303571	0.193548	0.200000	0.185185	0.295455	0.197183	0.200000	0.355556	0.000000	0.057143	0.054054	0.057143	0.058824	0.078947	0.306122	0.100000	0.189655	0.289474	0.382979	0.281250	0.218182	0.339623	0.273810	0.308824	0.318841	0.272727	0.285714	0.226667	0.266667	0.191176	0.187500	0.196970	0.363636	0.428571	0.261538	0.416667	0.250000	0.392857	0.403226	0.210526	0.280000	0.220339	0.151899	0.170732	0.168831	0.158537	0.128205	0.311475	0.316667	0.230769	0.246377	0.102564	0.320755	0.437500	0.313725	0.296875	0.327273	0.333333	0.272727	0.333333	0.258621	0.352941	0.377358	0.195402	0.232877	0.214286	0.342857	0.270833	0.203704	0.382979	0.322581	0.190476	0.203125	0.150943	0.290909	0.250000	0.269231	0.489362	0.215686	0.156863	0.177778	0.222222	0.080000	0.488372	0.163934	0.205128	0.360000	0.156250	0.175000	0.338462	0.327586	0.266667	0.259259	0.283582	0.362069	0.203125	0.237288	0.305556	0.164179	0.223881	0.316667	0.319444	0.225806	0.388889	0.184615	0.333333	0.259259	0.295775	0.217391	0.301370	0.316667	0.273973	0.353846	0.296875	0.160000	0.242857	0.254237	0.318182	0.265625	0.344828	0.266667	0.266667	0.253521	0.196721	0.217391	0.372881	0.205882	0.320000	0.263158	0.581395	0.288889	0.280702	0.387097	0.246753	0.241379	0.253521	0.297872	0.454545	0.246914	0.259259	0.253012	0.289474	0.413043	0.322581	0.257143	0.362069	0.310345	0.307692	0.174603	0.594595	0.324324	0.294118	0.400000	0.260870	0.184211	0.315068	0.258065	0.232558
D00110	0.309091	1.000000	0.442623	0.573770	0.302632	0.283582	0.465753	0.347222	0.442857	0.298246	0.535211	0.352941	0.384615	0.237500	0.370968	0.400000	0.338983	0.428571	0.258824	0.245614	0.287356	0.329545	0.328571	0.244186	0.270588	0.430769	0.527778	0.159420	0.269841	0.405797	0.347826	0.419355	0.301205	0.246914	0.473684	0.379310	0.315068	0.393939	0.424658	0.316456	0.571429	0.264706	0.323077	0.287879	0.307692	0.491525	0.400000	0.241379	0.312500	0.359375	0.256098	0.423729	0.289855	0.451613	0.313433	0.428571	0.280702	0.328947	0.253333	0.375000	0.000000	0.060000	0.100000	0.060000	0.061224	0.075472	0.428571	0.224490	0.307692	0.250000	0.246154	0.380282	0.406780	0.426230	0.397727	0.521739	0.304878	0.285714	0.333333	0.479452	0.423077	0.366197	0.460317	0.376812	0.444444	0.245902	0.507692	0.442857	0.288136	0.382353	0.492754	0.384615	0.365854	0.205479	0.258824	0.244444	0.247059	0.321429	0.253012	0.454545	0.557377	0.333333	0.457143	0.092593	0.387097	0.465517	0.383333	0.414286	0.390625	0.454545	0.535714	0.415385	0.508475	0.393443	0.348485	0.481481	0.630769	0.553846	0.527778	0.283333	0.265625	0.446429	0.306667	0.400000	0.328571	0.305085	0.359375	0.225806	0.322581	0.283582	0.258065	0.415094	0.254545	0.524590	0.093750	0.403509	0.318182	0.392405	0.235294	0.475410	0.264368	0.471429	0.367647	0.351852	0.340909	0.436620	0.376812	0.453125	0.390625	0.325301	0.220779	0.484848	0.439394	0.275862	0.415385	0.491803	0.476190	0.703704	0.253731	0.421053	0.180328	0.520548	0.439394	0.493151	0.386667	0.546875	0.254237	0.537313	0.428571	0.240964	0.426471	0.468750	0.405063	0.405063	0.346154	0.483333	0.285714	0.426471	0.507692	0.493506	0.353846	0.377049	0.275862	0.412698	0.416667	0.473684	0.353846	0.500000	0.452830	0.476923	0.444444	0.584906	0.428571	0.480519	0.446429	0.507692	0.485714	0.376812	0.483871	0.448276	0.428571	0.470588	0.500000	0.444444	0.576271	0.345455	0.173077	0.473684	0.342857	0.189655
D00136	0.333333	0.442623	1.000000	0.454545	0.253165	0.303030	0.354430	0.515625	0.530303	0.254237	0.579710	0.437500	0.406250	0.253165	0.416667	0.333333	0.490566	0.515152	0.289157	0.420000	0.302326	0.360465	0.500000	0.258824	0.255814	0.223684	0.527778	0.230769	0.290323	0.515625	0.524590	0.375000	0.317073	0.231707	0.272727	0.355932	0.371429	0.226667	0.316456	0.316456	0.419355	0.323077	0.365079	0.349206	0.328125	0.294118	0.300000	0.220339	0.312500	0.359375	0.240964	0.680000	0.328358	0.267606	0.275362	0.355932	0.216667	0.202381	0.236842	0.283333	0.108696	0.152174	0.145833	0.152174	0.130435	0.187500	0.311475	0.176471	0.328125	0.203704	0.208955	0.507692	0.383333	0.403226	0.322581	0.500000	0.289157	0.200000	0.377778	0.402597	0.387500	0.243590	0.483871	0.250000	0.491803	0.381818	0.484848	0.485294	0.266667	0.492063	0.492754	0.350000	0.365854	0.239437	0.273810	0.317647	0.247059	0.305882	0.238095	0.352113	0.461538	0.297297	0.397260	0.229167	0.343750	0.393443	0.456140	0.434783	0.412698	0.454545	0.653846	0.393939	0.589286	0.393443	0.390625	0.395349	0.514286	0.463768	0.506849	0.305085	0.265625	0.687500	0.531250	0.400000	0.453125	0.327586	0.426230	0.288136	0.490909	0.482759	0.278689	0.271186	0.210526	0.367647	0.076923	0.311475	0.359375	0.358025	0.235294	0.406250	0.264368	0.410959	0.430769	0.489796	0.255319	0.478261	0.461538	0.273973	0.390625	0.294118	0.205128	0.256410	0.397059	0.353659	0.260274	0.467742	0.476190	0.483871	0.312500	0.440000	0.142857	0.585714	0.397059	0.415584	0.507246	0.500000	0.298246	0.492754	0.475410	0.320513	0.310811	0.516129	0.387500	0.387500	0.312500	0.459016	0.309091	0.539683	0.272727	0.402439	0.629630	0.272727	0.370370	0.893617	0.436620	0.493333	0.257143	0.478873	0.350877	0.500000	0.376471	0.500000	0.333333	0.407407	0.306452	0.507692	0.485714	0.461538	0.333333	0.400000	0.304348	0.442308	0.540541	0.424658	0.388060	0.574468	0.196078	0.534247	0.287671	0.112903
D00195	0.333333	0.573770	0.454545	1.000000	0.258824	0.305556	0.474359	0.438356	0.513889	0.281250	0.481013	0.428571	0.361111	0.244186	0.367647	0.314286	0.380952	0.402597	0.250000	0.295082	0.290323	0.329787	0.328947	0.277778	0.288889	0.364865	0.532468	0.173333	0.275362	0.438356	0.442857	0.476923	0.288889	0.252874	0.415385	0.419355	0.386667	0.298701	0.365854	0.382716	0.523810	0.287671	0.305556	0.328571	0.430769	0.411765	0.356164	0.159420	0.295775	0.417910	0.261364	0.533333	0.328767	0.380282	0.333333	0.313433	0.208955	0.313253	0.259259	0.307692	0.017241	0.070175	0.105263	0.070175	0.071429	0.101695	0.353846	0.236364	0.309859	0.196721	0.271429	0.452055	0.491803	0.338028	0.378947	0.506667	0.352941	0.311475	0.346939	0.526316	0.400000	0.312500	0.587302	0.287500	0.500000	0.377049	0.536232	0.453333	0.333333	0.436620	0.608696	0.432099	0.411765	0.215190	0.263736	0.290323	0.280899	0.337079	0.258427	0.444444	0.584615	0.283951	0.428571	0.135593	0.323944	0.367647	0.378788	0.407895	0.366197	0.485714	0.540984	0.470588	0.590164	0.367647	0.366197	0.523810	0.628571	0.703125	0.638889	0.328125	0.308824	0.534483	0.452055	0.477612	0.485294	0.416667	0.439394	0.354839	0.406250	0.424242	0.323077	0.360656	0.241935	0.442857	0.130435	0.333333	0.417910	0.421687	0.277778	0.342466	0.296703	0.500000	0.442857	0.421053	0.354839	0.571429	0.471429	0.422535	0.447761	0.340909	0.243902	0.413333	0.471429	0.279570	0.388889	0.523077	0.578125	0.562500	0.295775	0.450000	0.176471	0.506329	0.471429	0.800000	0.493333	0.813559	0.322581	0.734375	0.606557	0.353659	0.400000	0.672131	0.565789	0.565789	0.284091	0.590164	0.250000	0.500000	0.432432	0.464286	0.454545	0.352941	0.389831	0.447761	0.410256	0.463415	0.315068	0.569444	0.465517	0.529412	0.712329	0.735849	0.542169	0.525000	0.483333	0.582090	0.577465	0.450704	0.428571	0.415385	0.342466	0.406780	0.584416	0.435897	0.578125	0.438596	0.210526	0.518987	0.342105	0.166667
D00219	0.238806	0.302632	0.253165	0.258824	1.000000	0.168675	0.325843	0.255814	0.258427	0.250000	0.333333	0.211765	0.174419	0.486486	0.297297	0.202532	0.232877	0.206522	0.512821	0.261538	0.782609	0.753425	0.195402	0.512821	0.565789	0.283951	0.287234	0.197368	0.246575	0.241379	0.253012	0.237500	0.776119	0.777778	0.217949	0.166667	0.273810	0.287500	0.292135	0.493506	0.237500	0.182927	0.328767	0.297297	0.170732	0.207317	0.397260	0.406780	0.301370	0.195122	0.520000	0.283784	0.234568	0.246914	0.222222	0.300000	0.312500	0.400000	0.478873	0.257143	0.033333	0.049180	0.064516	0.049180	0.050000	0.062500	0.181818	0.092308	0.142857	0.187500	0.277778	0.282353	0.205128	0.380282	0.675000	0.333333	0.456790	0.220588	0.451613	0.265957	0.297872	0.270588	0.240964	0.277108	0.243902	0.208333	0.197802	0.400000	0.175676	0.296296	0.295455	0.545455	0.597403	0.253165	0.552632	0.518519	0.519481	0.525000	0.533333	0.337500	0.261905	0.273810	0.202128	0.076923	0.310811	0.280000	0.323944	0.309524	0.234568	0.258824	0.227848	0.303797	0.219512	0.246753	0.250000	0.423913	0.271739	0.258427	0.260417	0.142857	0.210526	0.260274	0.267442	0.228916	0.253012	0.142857	0.225000	0.175676	0.240000	0.293333	0.186667	0.194444	0.176471	0.368421	0.306452	0.378788	0.180723	0.273684	0.266667	0.246914	0.551282	0.310345	0.300000	0.200000	0.417582	0.313953	0.308642	0.253012	0.219512	0.728571	0.438356	0.267442	0.261905	0.694444	0.303797	0.291139	0.253012	0.271605	0.250000	0.367816	0.220588	0.326087	0.261905	0.333333	0.321839	0.235955	0.148649	0.266667	0.216867	0.461538	0.384615	0.280488	0.452381	0.452381	0.364706	0.250000	0.220588	0.241379	0.267442	0.312500	0.269231	0.233766	0.231884	0.234568	0.269663	0.351648	0.356164	0.260870	0.173333	0.304878	0.406593	0.217949	0.423913	0.302083	0.277778	0.313253	0.250000	0.308642	0.337662	0.266667	0.294872	0.323077	0.288660	0.369048	0.268293	0.214286	0.180328	0.322581	0.418919	0.230769
D00225	0.186441	0.283582	0.303030	0.305556	0.168675	1.000000	0.381579	0.532258	0.477612	0.384615	0.320988	0.636364	0.600000	0.405797	0.338710	0.261538	0.203125	0.531250	0.265060	0.095238	0.264368	0.236559	0.542373	0.329114	0.358974	0.338235	0.421053	0.529412	0.278689	0.439394	0.568966	0.409836	0.247059	0.178571	0.188406	0.444444	0.382353	0.267606	0.228916	0.307692	0.508772	0.448276	0.253731	0.296875	0.456140	0.194444	0.171053	0.147541	0.301587	0.268657	0.346667	0.242424	0.175676	0.396825	0.592593	0.344828	0.126984	0.192771	0.295775	0.153846	0.065217	0.062500	0.081633	0.062500	0.041667	0.057692	0.392857	0.094340	0.886364	0.166667	0.234375	0.476923	0.528302	0.214286	0.234694	0.271605	0.220930	0.186441	0.244898	0.358974	0.297619	0.266667	0.267606	0.256757	0.390625	0.174603	0.352113	0.222222	0.213115	0.194805	0.278481	0.218391	0.222222	0.365079	0.312500	0.375000	0.300000	0.362500	0.324675	0.468750	0.500000	0.402985	0.470588	0.055556	0.333333	0.276923	0.246154	0.293333	0.318182	0.323944	0.253731	0.343284	0.260870	0.276923	0.242857	0.242105	0.316456	0.302632	0.285714	0.315789	0.338983	0.253968	0.391304	0.435484	0.444444	0.363636	0.465517	0.298246	0.212121	0.333333	0.520000	0.123077	0.522727	0.246575	0.030303	0.147059	0.465517	0.459459	0.261538	0.491525	0.333333	0.216867	0.318841	0.365385	0.195876	0.369863	0.309859	0.378788	0.474576	0.285714	0.243243	0.352113	0.256757	0.297619	0.285714	0.328358	0.263889	0.406250	0.301587	0.325000	0.228070	0.313253	0.256757	0.304878	0.342105	0.310811	0.200000	0.311688	0.396825	0.246914	0.202532	0.352941	0.267442	0.267442	0.373333	0.242857	0.372549	0.301370	0.371429	0.298851	0.303030	0.171429	0.263158	0.318182	0.265823	0.447368	0.178082	0.391892	0.442308	0.220779	0.277778	0.322581	0.325843	0.302326	0.316667	0.315068	0.397260	0.328571	0.451613	0.123288	0.222222	0.216667	0.417722	0.307692	0.338235	0.333333	0.156863	0.410256	0.150000	0.196429
D00227	0.318841	0.465753	0.354430	0.474359	0.325843	0.381579	1.000000	0.450000	0.558442	0.409091	0.580247	0.423077	0.472973	0.325843	0.485714	0.337662	0.324324	0.487500	0.326316	0.232877	0.488636	0.431579	0.473684	0.384615	0.380435	0.417722	0.535714	0.320000	0.414286	0.432099	0.473684	0.426667	0.395604	0.363636	0.430556	0.414286	0.474359	0.321429	0.336957	0.430233	0.597015	0.400000	0.458333	0.424658	0.405405	0.426667	0.466667	0.378788	0.450704	0.452055	0.355556	0.373333	0.350000	0.730159	0.486111	0.477612	0.333333	0.304348	0.361446	0.352113	0.014493	0.028571	0.057143	0.028571	0.028986	0.055556	0.455882	0.179104	0.405405	0.200000	0.428571	0.602740	0.457143	0.413333	0.494737	0.569620	0.354839	0.229730	0.401961	0.567901	0.413043	0.333333	0.405063	0.325581	0.428571	0.357143	0.462500	0.558442	0.338028	0.412500	0.544304	0.395604	0.364583	0.426667	0.415730	0.423913	0.388889	0.460674	0.366667	0.554054	0.628571	0.437500	0.592105	0.054054	0.567164	0.485714	0.291139	0.512821	0.367089	0.554054	0.381579	0.480000	0.402597	0.350649	0.384615	0.463158	0.543210	0.518987	0.449438	0.315068	0.315789	0.333333	0.444444	0.428571	0.435897	0.315068	0.452055	0.319444	0.346667	0.400000	0.385714	0.220779	0.313433	0.513514	0.112500	0.356164	0.394737	0.697368	0.430556	0.493151	0.357895	0.469880	0.493333	0.373134	0.427083	0.493827	0.500000	0.750000	0.500000	0.449438	0.345238	0.746269	0.425000	0.397849	0.541667	0.527778	0.417722	0.480000	0.430556	0.530120	0.358209	0.585366	0.425000	0.505882	0.500000	0.456790	0.240000	0.525000	0.434211	0.386364	0.487179	0.486842	0.444444	0.444444	0.493976	0.402597	0.263889	0.432099	0.746269	0.558140	0.337500	0.337662	0.291667	0.367089	0.457831	0.597561	0.445946	0.530864	0.391304	0.402439	0.462366	0.391892	0.527473	0.602410	0.388889	0.500000	0.518519	0.500000	0.541667	0.287500	0.513889	0.342857	0.546512	0.518519	0.493333	0.291667	0.194030	0.658228	0.395062	0.353846
D00228	0.306452	0.347222	0.515625	0.438356	0.255814	0.532258	0.450000	1.000000	0.617647	0.383333	0.512821	0.741379	0.523077	0.350000	0.342857	0.291667	0.353846	0.579710	0.303371	0.250000	0.344444	0.354839	0.545455	0.318182	0.314607	0.307692	0.545455	0.390625	0.369231	0.536232	0.619048	0.447761	0.360465	0.222222	0.207792	0.435484	0.500000	0.278481	0.313953	0.298851	0.469697	0.439394	0.283784	0.424242	0.424242	0.197531	0.234568	0.208955	0.309859	0.333333	0.317647	0.430769	0.272727	0.356164	0.385714	0.390625	0.171429	0.195652	0.256098	0.146667	0.052632	0.087719	0.084746	0.087719	0.070175	0.100000	0.348485	0.131148	0.540984	0.193548	0.323529	0.597015	0.586207	0.297297	0.294118	0.443038	0.333333	0.208955	0.357143	0.462500	0.395349	0.277108	0.364865	0.268293	0.492537	0.328125	0.426667	0.410256	0.268657	0.391892	0.454545	0.329545	0.315217	0.385714	0.303371	0.406977	0.292135	0.348315	0.298851	0.478873	0.464789	0.400000	0.441558	0.096774	0.338028	0.323944	0.373134	0.479452	0.420290	0.458333	0.439394	0.485294	0.484848	0.382353	0.380282	0.357895	0.455696	0.486486	0.433735	0.323077	0.343284	0.475410	0.597015	0.470588	0.500000	0.343750	0.523810	0.349206	0.358209	0.532258	0.279412	0.150685	0.278689	0.324675	0.025974	0.253521	0.454545	0.451220	0.347826	0.455882	0.322222	0.382716	0.500000	0.490909	0.257426	0.460526	0.485714	0.342105	0.507692	0.367816	0.211765	0.354430	0.405405	0.379310	0.364865	0.408451	0.360000	0.463768	0.388060	0.500000	0.246154	0.500000	0.405405	0.421687	0.527027	0.440000	0.238806	0.493333	0.500000	0.382716	0.277108	0.514706	0.379310	0.379310	0.373494	0.342466	0.372881	0.536232	0.354430	0.377778	0.447761	0.223684	0.338710	0.531250	0.423077	0.512500	0.197531	0.461538	0.365079	0.363636	0.384615	0.453125	0.357895	0.413793	0.304348	0.486111	0.467532	0.485714	0.463768	0.240000	0.222222	0.400000	0.500000	0.486842	0.342105	0.482143	0.147541	0.635135	0.226190	0.218750
D00234	0.287879	0.442857	0.530303	0.513889	0.258427	0.477612	0.558442	0.617647	1.000000	0.359375	0.626667	0.615385	0.492754	0.333333	0.380282	0.310811	0.460317	0.569444	0.290323	0.235294	0.358696	0.413043	0.536232	0.333333	0.344444	0.358974	0.618421	0.409091	0.367647	0.549296	0.536232	0.530303	0.329670	0.225806	0.293333	0.476190	0.557143	0.280488	0.329545	0.392857	0.603175	0.375000	0.337838	0.380282	0.441176	0.294872	0.316456	0.197183	0.310811	0.428571	0.318182	0.447761	0.307692	0.471429	0.442857	0.388060	0.228571	0.266667	0.304878	0.250000	0.066667	0.118644	0.152542	0.118644	0.120690	0.166667	0.430769	0.196721	0.531250	0.238095	0.305556	0.761905	0.573770	0.351351	0.360000	0.532468	0.318681	0.250000	0.343137	0.493827	0.377778	0.294118	0.458333	0.285714	0.507246	0.328358	0.500000	0.500000	0.328358	0.407895	0.526316	0.406977	0.358696	0.346667	0.363636	0.388889	0.337079	0.409091	0.314607	0.493151	0.565217	0.329268	0.597222	0.107692	0.414286	0.420290	0.391304	0.513514	0.436620	0.513889	0.477612	0.478873	0.478261	0.380282	0.397260	0.445652	0.525641	0.540541	0.500000	0.363636	0.492063	0.468750	0.563380	0.529412	0.582090	0.343284	0.538462	0.328358	0.439394	0.500000	0.378788	0.222222	0.344262	0.376623	0.037500	0.256757	0.449275	0.556962	0.310811	0.471429	0.336957	0.397590	0.492958	0.482759	0.323232	0.554054	0.479452	0.452055	0.569231	0.366667	0.258824	0.460526	0.440000	0.362637	0.381579	0.444444	0.452055	0.544118	0.366197	0.512500	0.231884	0.610390	0.440000	0.506173	0.519481	0.513514	0.279412	0.526316	0.450704	0.364706	0.325301	0.573529	0.458824	0.458824	0.388235	0.457143	0.393443	0.594203	0.460526	0.438202	0.485294	0.259740	0.380952	0.593750	0.385542	0.543210	0.278481	0.552632	0.475410	0.379747	0.460674	0.539683	0.445652	0.476744	0.305556	0.585714	0.560000	0.479452	0.500000	0.328767	0.337662	0.396825	0.628205	0.519481	0.432432	0.403226	0.174603	0.666667	0.304878	0.223881
D00252	0.183673	0.298246	0.254237	0.281250	0.250000	0.384615	0.409091	0.383333	0.359375	1.000000	0.319444	0.392857	0.461538	0.307692	0.392157	0.250000	0.181818	0.387097	0.240000	0.163265	0.256410	0.226190	0.462963	0.291667	0.362319	0.295082	0.297297	0.346939	0.346939	0.431034	0.362069	0.345455	0.287671	0.225352	0.272727	0.434783	0.344262	0.300000	0.232877	0.267606	0.396226	0.411765	0.285714	0.314815	0.365385	0.254237	0.262295	0.380952	0.372549	0.237288	0.308824	0.250000	0.229508	0.461538	0.423077	0.783784	0.311111	0.175676	0.269841	0.211538	0.027778	0.054054	0.051282	0.054054	0.055556	0.048780	0.375000	0.121951	0.392157	0.275000	0.264151	0.448276	0.437500	0.303571	0.267442	0.318841	0.192308	0.137255	0.208791	0.342857	0.243590	0.276923	0.200000	0.265625	0.283333	0.169811	0.235294	0.242857	0.192308	0.159420	0.271429	0.220779	0.240506	0.345455	0.309859	0.289474	0.295775	0.310811	0.304348	0.366667	0.350000	0.344262	0.375000	0.046512	0.411765	0.314815	0.189655	0.268657	0.271186	0.344262	0.241379	0.368421	0.209677	0.267857	0.229508	0.247059	0.277778	0.279412	0.230769	0.285714	0.367347	0.288462	0.333333	0.327586	0.338983	0.312500	0.403846	0.265306	0.172414	0.285714	0.280000	0.150943	0.375000	0.385965	0.056604	0.222222	0.351852	0.391304	0.250000	0.461538	0.297297	0.219178	0.362069	0.372093	0.168539	0.353846	0.350000	0.436364	0.388889	0.297297	0.230769	0.423729	0.246154	0.259740	0.392857	0.375000	0.196970	0.368421	0.320755	0.362319	0.348837	0.310811	0.246154	0.283784	0.343284	0.268657	0.111111	0.271429	0.357143	0.236111	0.257576	0.290323	0.243590	0.243590	0.318841	0.209677	0.260870	0.202899	0.423729	0.294872	0.233333	0.166667	0.224490	0.271186	0.222222	0.289474	0.275862	0.300000	0.260000	0.205882	0.256098	0.320755	0.325000	0.315789	0.367347	0.354839	0.304348	0.350000	0.392857	0.111111	0.381818	0.244898	0.265823	0.384615	0.234375	0.276596	0.205128	0.306667	0.250000	0.375000
