	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172
D00035	1.000000	0.129630	0.068966	0.044776	0.145833	0.034483	0.041667	0.053571	0.056338	0.076923	0.077922	0.052632	0.055556	0.042553	0.071429	0.090909	0.018519	0.029851	0.067797	0.171429	0.125000	0.115942	0.050000	0.060000	0.080645	0.081967	0.060976	0.000000	0.066667	0.060606	0.037037	0.064516	0.106383	0.061224	0.027027	0.020408	0.043478	0.098039	0.078125	0.034483	0.064516	0.117647	0.095238	0.061224	0.000000	0.024390	0.047619	0.102564	0.097561	0.054545	0.039216	0.086207	0.078947	0.023256	0.060606	0.086957	0.100000	0.053571	0.021739	0.081081	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.096154	0.028571	0.015873	0.075000	0.061224	0.096774	0.036364	0.062500	0.098592	0.085714	0.098039	0.081081	0.083333	0.057143	0.082192	0.081967	0.000000	0.084746	0.050000	0.024390	0.042254	0.200000	0.000000	0.064516	0.085366	0.018182	0.063492	0.062500	0.064516	0.046875	0.056604	0.052632	0.055556	0.122807	0.061538	0.120690	0.062500	0.025000	0.119048	0.119048	0.060000	0.052632	0.054545	0.063492	0.094340	0.142857	0.020000	0.061224	0.054545	0.078947	0.090909	0.026667	0.084337	0.023256	0.000000	0.092593	0.047619	0.062500	0.031746	0.020408	0.020408	0.020408	0.017857	0.155172	0.000000	0.071429	0.021277	0.085106	0.037037	0.140000	0.000000	0.028571	0.058824	0.058824	0.064516	0.057471	0.127273	0.062500	0.052632	0.090909	0.125000	0.022222	0.000000	0.142857	0.061224	0.081633	0.050847	0.108696	0.068966	0.150943	0.000000	0.129630	0.063830	0.054795	0.068182	0.075949	0.051724	0.057143	0.090909	0.045455	0.000000	0.033708	0.020833	0.090909	0.039216	0.055556	0.066667	0.066667	0.050000	0.000000	0.060000	0.083333	0.072727	0.101266	0.014493	0.214286	0.060000	0.045455	0.085714	0.042254	0.050000	0.057143	0.088889	0.125000	0.056338	0.089286	0.098361	0.064103	0.140000	0.112903	0.054054	0.129630	0.127273	0.111111	0.036364	0.279070	0.068182	0.056338	0.150943	0.071429	0.027027	0.112903	0.041667	0.071429
D00110	0.129630	1.000000	0.133333	0.162500	0.181818	0.136986	0.089552	0.123288	0.180723	0.160714	0.177778	0.136986	0.194030	0.074627	0.152778	0.185714	0.147059	0.150000	0.116883	0.084746	0.130952	0.162791	0.146667	0.055556	0.184211	0.186667	0.111111	0.092308	0.145161	0.148148	0.128571	0.141026	0.153846	0.119403	0.089286	0.140625	0.059701	0.215385	0.164557	0.077922	0.155844	0.142857	0.150000	0.136364	0.123077	0.101695	0.063492	0.178571	0.133333	0.140845	0.041096	0.194444	0.084746	0.098361	0.107143	0.177419	0.196429	0.078947	0.111111	0.067797	0.019231	0.054545	0.075472	0.054545	0.056604	0.036364	0.212121	0.134615	0.115385	0.200000	0.171875	0.181818	0.142857	0.088235	0.160920	0.178571	0.067568	0.125000	0.174419	0.182927	0.172414	0.202703	0.083333	0.175676	0.146667	0.065574	0.127907	0.172840	0.114754	0.186667	0.178947	0.097222	0.125000	0.072464	0.098765	0.097561	0.053333	0.106667	0.066667	0.279412	0.150000	0.142857	0.166667	0.032258	0.186441	0.147541	0.134328	0.121622	0.125000	0.153846	0.173913	0.215385	0.121212	0.171875	0.173913	0.166667	0.130952	0.086957	0.118812	0.063492	0.073529	0.171429	0.112500	0.137500	0.113924	0.123077	0.158730	0.140625	0.142857	0.125000	0.070423	0.092105	0.075758	0.104478	0.020000	0.230769	0.119403	0.117647	0.166667	0.184615	0.072289	0.138614	0.197183	0.138462	0.061856	0.158537	0.194444	0.095238	0.088235	0.179104	0.153846	0.117647	0.148649	0.138462	0.118421	0.200000	0.080460	0.354839	0.140625	0.162791	0.166667	0.173913	0.135135	0.168675	0.144578	0.150000	0.018519	0.105769	0.161290	0.092308	0.055556	0.164706	0.170455	0.170455	0.075000	0.085366	0.151515	0.086420	0.205882	0.195652	0.081395	0.104478	0.151515	0.108434	0.178571	0.102273	0.065574	0.154762	0.161290	0.172840	0.166667	0.166667	0.168831	0.191011	0.176471	0.243243	0.147727	0.200000	0.287879	0.107143	0.081081	0.278689	0.135922	0.166667	0.217391	0.133333	0.129630	0.108434	0.073529	0.172414
D00136	0.068966	0.133333	1.000000	0.119048	0.128571	0.120000	0.104478	0.136986	0.192771	0.118644	0.244186	0.166667	0.157143	0.123077	0.090909	0.135135	0.067568	0.177215	0.115385	0.120690	0.090909	0.134831	0.160000	0.084507	0.151899	0.084337	0.168421	0.074627	0.107692	0.189873	0.250000	0.097561	0.134328	0.117647	0.087719	0.088235	0.074627	0.095890	0.094118	0.063291	0.097561	0.140845	0.129032	0.134328	0.072464	0.100000	0.062500	0.116667	0.112903	0.078947	0.069444	0.175676	0.065574	0.079365	0.105882	0.138462	0.114754	0.064103	0.075758	0.084746	0.038462	0.035088	0.035714	0.035088	0.017857	0.035714	0.109589	0.071429	0.142857	0.155172	0.101449	0.243243	0.109589	0.153846	0.096774	0.111111	0.111111	0.032258	0.120879	0.101124	0.084211	0.097561	0.057471	0.100000	0.087500	0.081967	0.101124	0.103448	0.061538	0.125000	0.107843	0.066667	0.096386	0.102941	0.071429	0.096386	0.066667	0.105263	0.065789	0.113924	0.094118	0.141026	0.194805	0.065574	0.109375	0.145161	0.132353	0.105263	0.123288	0.096386	0.322581	0.142857	0.190476	0.134328	0.154930	0.104167	0.103448	0.041237	0.085714	0.133333	0.057143	0.169014	0.184211	0.095238	0.171053	0.072464	0.121212	0.072464	0.065789	0.070588	0.054795	0.076923	0.074627	0.102941	0.019608	0.109589	0.070423	0.103448	0.098592	0.181818	0.084337	0.115385	0.162162	0.119403	0.072165	0.200000	0.160000	0.076923	0.071429	0.111111	0.085714	0.115942	0.131579	0.229508	0.075000	0.118421	0.055556	0.118421	0.104478	0.160920	0.092308	0.238636	0.118421	0.126437	0.200000	0.134146	0.037037	0.074074	0.106061	0.161290	0.054795	0.075269	0.083333	0.083333	0.087500	0.058824	0.084507	0.126582	0.121622	0.121212	0.119048	0.071429	0.115942	0.453125	0.111111	0.225000	0.064516	0.195122	0.106061	0.170732	0.125000	0.133333	0.151899	0.091837	0.125000	0.162500	0.159091	0.148649	0.116883	0.160494	0.080000	0.112676	0.145631	0.164706	0.148649	0.150000	0.068966	0.134146	0.072464	0.095238
D00195	0.044776	0.162500	0.119048	1.000000	0.087500	0.069767	0.093333	0.083333	0.126316	0.088235	0.173469	0.121951	0.085366	0.051948	0.082353	0.135802	0.060976	0.086022	0.067416	0.073529	0.083333	0.147368	0.055556	0.049383	0.137931	0.139535	0.122642	0.081081	0.081081	0.120879	0.128205	0.113636	0.105263	0.063291	0.093750	0.093333	0.095890	0.128205	0.134831	0.045455	0.088889	0.085366	0.083333	0.090909	0.064935	0.088235	0.041096	0.071429	0.084507	0.097561	0.036585	0.130952	0.057971	0.070423	0.096774	0.108108	0.085714	0.109756	0.067568	0.074627	0.000000	0.015152	0.047619	0.015152	0.015625	0.015385	0.085366	0.096774	0.066667	0.102941	0.063291	0.086957	0.126582	0.106667	0.078431	0.125000	0.086420	0.074627	0.111111	0.115789	0.121212	0.113636	0.149425	0.129412	0.117647	0.072464	0.070707	0.118280	0.100000	0.076923	0.120370	0.086420	0.064516	0.092105	0.053763	0.053191	0.047619	0.095238	0.047059	0.116279	0.109890	0.065934	0.111111	0.042857	0.097222	0.097222	0.103896	0.135802	0.097561	0.076087	0.153846	0.157895	0.136986	0.090909	0.071429	0.140000	0.130435	0.172043	0.129630	0.070423	0.064935	0.123457	0.088889	0.111111	0.102273	0.078947	0.108108	0.078947	0.059524	0.087912	0.062500	0.095238	0.066667	0.092105	0.016949	0.085366	0.063291	0.061224	0.061728	0.088608	0.065217	0.169811	0.160494	0.077922	0.087379	0.106383	0.187500	0.098592	0.064103	0.100000	0.063291	0.089744	0.093023	0.092105	0.105882	0.107143	0.144444	0.120482	0.078947	0.123711	0.097222	0.193878	0.107143	0.927273	0.083333	0.383562	0.015873	0.203883	0.157143	0.081081	0.036585	0.161290	0.154639	0.154639	0.079545	0.152941	0.075949	0.077778	0.083333	0.122642	0.051546	0.077922	0.118421	0.109890	0.102041	0.104167	0.042254	0.070707	0.157143	0.118280	0.910714	0.309859	0.192771	0.105769	0.141026	0.160920	0.067961	0.192308	0.119048	0.096774	0.072289	0.129870	0.115044	0.126316	0.177215	0.115942	0.093750	0.097826	0.051282	0.100000
D00219	0.145833	0.181818	0.128571	0.087500	1.000000	0.069444	0.063492	0.070423	0.108434	0.113208	0.136364	0.100000	0.088235	0.081967	0.132353	0.132353	0.074627	0.075000	0.126761	0.115385	0.508475	0.468750	0.066667	0.093750	0.217391	0.121622	0.106383	0.048387	0.140351	0.101266	0.073529	0.121622	0.437500	0.352941	0.057692	0.080645	0.101695	0.158730	0.116883	0.115942	0.121622	0.088235	0.125000	0.169492	0.063492	0.053571	0.051724	0.132075	0.087719	0.102941	0.076923	0.111111	0.115385	0.070175	0.101266	0.116667	0.109091	0.101449	0.103448	0.075472	0.000000	0.000000	0.020000	0.000000	0.000000	0.000000	0.104478	0.104167	0.065789	0.176471	0.131148	0.103896	0.088235	0.096774	0.376812	0.134146	0.158730	0.096154	0.144578	0.109756	0.116279	0.136986	0.049383	0.140845	0.081081	0.072727	0.096386	0.186667	0.068966	0.106667	0.104167	0.123077	0.135135	0.096774	0.092105	0.076923	0.089552	0.100000	0.088235	0.208955	0.116883	0.108108	0.103896	0.054545	0.122807	0.122807	0.129032	0.100000	0.102941	0.105263	0.190476	0.216667	0.079365	0.150000	0.153846	0.151163	0.098765	0.080460	0.103093	0.070175	0.046875	0.117647	0.064103	0.118421	0.064935	0.080645	0.098361	0.098361	0.072464	0.150685	0.044776	0.100000	0.048387	0.096774	0.097561	0.174603	0.061538	0.059524	0.126984	0.092308	0.092105	0.101010	0.196970	0.062500	0.089888	0.098765	0.194030	0.067797	0.062500	0.431373	0.169492	0.129032	0.144928	0.387755	0.097222	0.181818	0.047619	0.164179	0.135593	0.105882	0.142857	0.133333	0.130435	0.096386	0.085366	0.116883	0.042553	0.079208	0.081967	0.140351	0.060606	0.094118	0.127907	0.127907	0.095890	0.050633	0.129032	0.078947	0.134328	0.142857	0.060976	0.114754	0.129032	0.075000	0.120482	0.070588	0.053571	0.109756	0.137931	0.171053	0.121951	0.130435	0.166667	0.098901	0.156250	0.211268	0.079545	0.200000	0.215385	0.101266	0.042254	0.220339	0.099010	0.108434	0.164179	0.107143	0.078431	0.088608	0.046875	0.148148
D00225	0.034483	0.136986	0.120000	0.069767	0.069444	1.000000	0.074627	0.246154	0.114943	0.122807	0.093750	0.242424	0.580000	0.203390	0.123288	0.108108	0.100000	0.358209	0.103896	0.032787	0.080460	0.137931	0.491228	0.086957	0.155844	0.086420	0.147368	0.166667	0.111111	0.210526	0.218750	0.142857	0.104478	0.072464	0.052632	0.161290	0.093750	0.098592	0.096386	0.078947	0.142857	0.316667	0.133333	0.072464	0.161290	0.049180	0.031250	0.101695	0.116667	0.066667	0.086957	0.118421	0.016129	0.081967	0.135802	0.142857	0.100000	0.025316	0.095238	0.050847	0.019608	0.017857	0.037037	0.017857	0.000000	0.000000	0.161765	0.094340	0.482759	0.083333	0.104478	0.097561	0.128571	0.073529	0.075269	0.126437	0.012987	0.050847	0.111111	0.103448	0.122222	0.086420	0.071429	0.102564	0.133333	0.066667	0.090909	0.080460	0.098361	0.086420	0.099010	0.083333	0.085366	0.057971	0.086420	0.126582	0.054054	0.108108	0.067568	0.131579	0.137500	0.279412	0.153846	0.032787	0.150000	0.061538	0.136364	0.093333	0.111111	0.126582	0.081081	0.114286	0.089552	0.072464	0.081081	0.094737	0.068182	0.076087	0.027523	0.178571	0.074627	0.109589	0.128205	0.139241	0.144737	0.142857	0.142857	0.125000	0.097222	0.098765	0.086957	0.051282	0.076923	0.073529	0.000000	0.128571	0.156250	0.160494	0.101449	0.310345	0.086420	0.065421	0.105263	0.123077	0.009901	0.146341	0.103896	0.079365	0.123077	0.098592	0.104478	0.071429	0.076923	0.140625	0.090909	0.106667	0.068966	0.106667	0.107692	0.151163	0.095238	0.091837	0.077922	0.066667	0.132530	0.070588	0.018868	0.075472	0.145161	0.029412	0.041667	0.088889	0.085106	0.085106	0.075949	0.073171	0.153846	0.074074	0.125000	0.101010	0.121951	0.057971	0.102941	0.109756	0.113636	0.129412	0.032258	0.215190	0.126984	0.080460	0.065934	0.092105	0.112500	0.117021	0.128571	0.096386	0.204819	0.106667	0.135135	0.057471	0.039474	0.115942	0.094340	0.154762	0.136986	0.135593	0.132075	0.096386	0.028571	0.098361
D00227	0.041667	0.089552	0.104478	0.093333	0.063492	0.074627	1.000000	0.075758	0.087500	0.102041	0.130952	0.107692	0.131148	0.109091	0.125000	0.107692	0.063492	0.157143	0.071429	0.081633	0.090909	0.059524	0.102941	0.083333	0.082192	0.098592	0.087912	0.090909	0.090909	0.123288	0.062500	0.083333	0.084746	0.084746	0.136364	0.087719	0.111111	0.114754	0.109589	0.107692	0.164179	0.095238	0.160000	0.122807	0.087719	0.148936	0.142857	0.100000	0.117647	0.111111	0.101695	0.086957	0.104167	0.400000	0.123288	0.107143	0.098039	0.059701	0.113208	0.155556	0.000000	0.000000	0.022222	0.000000	0.000000	0.022222	0.131148	0.066667	0.101449	0.145833	0.103448	0.111111	0.131148	0.188679	0.111111	0.086420	0.046154	0.019608	0.125000	0.102564	0.096386	0.114286	0.066667	0.101449	0.071429	0.125000	0.088608	0.090909	0.117647	0.083333	0.086022	0.114754	0.067568	0.086207	0.083333	0.112676	0.079365	0.142857	0.078125	0.101449	0.157143	0.084507	0.159420	0.039216	0.156863	0.134615	0.083333	0.107692	0.129032	0.112676	0.166667	0.096774	0.145455	0.142857	0.093750	0.068182	0.076923	0.034884	0.040816	0.056604	0.087719	0.075758	0.068493	0.081081	0.084507	0.068966	0.107143	0.068966	0.061538	0.082192	0.120690	0.074627	0.090909	0.211538	0.052632	0.078125	0.084746	0.292308	0.100000	0.118644	0.068493	0.072165	0.104478	0.067797	0.057471	0.090909	0.102941	0.380952	0.105263	0.079365	0.084746	0.666667	0.138462	0.067797	0.121212	0.073529	0.064103	0.123077	0.087719	0.098765	0.092593	0.127907	0.140625	0.102564	0.076923	0.080000	0.047619	0.050505	0.089286	0.090909	0.140351	0.073171	0.082353	0.082353	0.086957	0.068493	0.048387	0.069444	0.290909	0.112360	0.051282	0.067797	0.065574	0.065789	0.128205	0.102564	0.148936	0.088608	0.109091	0.090909	0.101266	0.089552	0.082192	0.091954	0.095238	0.109589	0.084337	0.106061	0.104478	0.064935	0.169492	0.080645	0.081633	0.101266	0.106061	0.055556	0.111111	0.157143	0.127273	0.096154
D00228	0.053571	0.123288	0.136986	0.083333	0.070423	0.246154	0.075758	1.000000	0.116279	0.105263	0.106383	0.421053	0.258065	0.228070	0.109589	0.094595	0.085714	0.232877	0.135135	0.016393	0.068966	0.139535	0.253731	0.121212	0.142857	0.087500	0.173913	0.150000	0.061538	0.197368	0.262295	0.129870	0.106061	0.057971	0.053571	0.126984	0.131148	0.084507	0.071429	0.080000	0.101266	0.238095	0.116667	0.042857	0.109375	0.050000	0.048387	0.084746	0.137931	0.082192	0.138462	0.135135	0.000000	0.065574	0.096386	0.126984	0.083333	0.052632	0.133333	0.051724	0.020000	0.018182	0.018519	0.037037	0.000000	0.000000	0.114286	0.075472	0.231884	0.049180	0.073529	0.141026	0.164179	0.074627	0.064516	0.114943	0.040541	0.051724	0.112360	0.091954	0.075269	0.074074	0.059524	0.075949	0.105263	0.067797	0.079545	0.081395	0.064516	0.074074	0.111111	0.069444	0.073171	0.074627	0.101266	0.173333	0.084507	0.125000	0.098592	0.118421	0.097561	0.211268	0.098765	0.016393	0.152542	0.062500	0.121212	0.065789	0.097222	0.086420	0.082192	0.100000	0.107692	0.042857	0.053333	0.084211	0.044944	0.101124	0.057143	0.226415	0.075758	0.142857	0.144737	0.126582	0.146667	0.109375	0.126984	0.109375	0.083333	0.113924	0.072464	0.038462	0.095238	0.074627	0.020833	0.083333	0.106061	0.134146	0.071429	0.209677	0.115385	0.086538	0.092105	0.125000	0.041237	0.134146	0.090909	0.063492	0.090909	0.100000	0.089552	0.072464	0.050633	0.180328	0.092105	0.123288	0.057471	0.138889	0.059701	0.126437	0.062500	0.104167	0.051282	0.079545	0.134146	0.097561	0.000000	0.107843	0.147541	0.061538	0.088235	0.114943	0.122222	0.122222	0.090909	0.060976	0.138462	0.162162	0.095890	0.069307	0.123457	0.028571	0.088235	0.125000	0.089888	0.144578	0.032787	0.158537	0.129032	0.068966	0.090909	0.108108	0.100000	0.094737	0.130435	0.097561	0.151163	0.093333	0.121622	0.045977	0.040000	0.134328	0.095238	0.129412	0.123288	0.137931	0.092593	0.184211	0.044118	0.064516
D00234	0.056338	0.180723	0.192771	0.126316	0.108434	0.114943	0.087500	0.116279	1.000000	0.082192	0.263158	0.154762	0.132530	0.088608	0.089888	0.127907	0.150000	0.152174	0.075269	0.040000	0.159574	0.187500	0.123596	0.058824	0.118280	0.131868	0.137615	0.089744	0.089744	0.126316	0.120482	0.170455	0.098765	0.072289	0.056338	0.115385	0.089744	0.120482	0.104167	0.102273	0.197674	0.093023	0.106667	0.085366	0.101266	0.067568	0.038462	0.111111	0.078947	0.104651	0.046512	0.190476	0.040000	0.080000	0.091837	0.087500	0.094595	0.054945	0.105263	0.054795	0.030769	0.043478	0.075758	0.043478	0.029412	0.044118	0.119048	0.073529	0.147727	0.095890	0.098765	0.265060	0.146341	0.086420	0.161616	0.164948	0.044944	0.100000	0.127451	0.206522	0.115385	0.119565	0.117021	0.109890	0.136364	0.112676	0.099010	0.147368	0.093333	0.157303	0.188679	0.162500	0.072165	0.060241	0.095745	0.118280	0.044944	0.114943	0.056180	0.202381	0.191011	0.096774	0.153846	0.040000	0.135135	0.076923	0.139241	0.102273	0.091954	0.168539	0.172840	0.148148	0.189189	0.085366	0.091954	0.144231	0.101010	0.085714	0.067227	0.094595	0.129870	0.185185	0.144444	0.166667	0.159091	0.101266	0.144737	0.115385	0.146341	0.142857	0.097561	0.077778	0.062500	0.086420	0.000000	0.146341	0.098765	0.123711	0.096386	0.123457	0.072917	0.102564	0.151163	0.128205	0.054054	0.147368	0.149425	0.077922	0.113924	0.107143	0.126582	0.071429	0.076087	0.100000	0.064516	0.126437	0.113402	0.152941	0.087500	0.151515	0.076923	0.257732	0.065217	0.121212	0.135417	0.139785	0.045455	0.102564	0.131579	0.103896	0.046512	0.189474	0.181818	0.181818	0.052632	0.119565	0.139241	0.172414	0.103448	0.127273	0.070000	0.060241	0.139241	0.177778	0.118812	0.121212	0.039474	0.099010	0.162162	0.147368	0.120000	0.195122	0.142857	0.188119	0.119048	0.261905	0.095238	0.152941	0.207317	0.080808	0.056180	0.179487	0.180180	0.154639	0.139535	0.108108	0.119403	0.115789	0.035714	0.078947
D00252	0.076923	0.160714	0.118644	0.088235	0.113208	0.122807	0.102041	0.105263	0.082192	1.000000	0.101266	0.103448	0.150943	0.081633	0.185185	0.142857	0.092593	0.123077	0.135593	0.097561	0.085714	0.080000	0.135593	0.075472	0.203390	0.129032	0.083333	0.106383	0.155556	0.121212	0.153846	0.129032	0.166667	0.142857	0.076923	0.200000	0.083333	0.176471	0.123077	0.066667	0.129032	0.129630	0.136364	0.142857	0.173913	0.069767	0.043478	0.270270	0.166667	0.087719	0.075472	0.116667	0.125000	0.090909	0.121212	0.459459	0.263158	0.032787	0.159091	0.047619	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.173077	0.142857	0.114754	0.175000	0.166667	0.107692	0.129630	0.100000	0.093333	0.159420	0.071429	0.023256	0.123288	0.164179	0.121622	0.147541	0.058824	0.133333	0.098361	0.121951	0.114286	0.085714	0.113636	0.129032	0.081395	0.071429	0.092308	0.122449	0.111111	0.109375	0.071429	0.084746	0.070175	0.152542	0.123077	0.131148	0.125000	0.022727	0.159091	0.159091	0.117647	0.103448	0.127273	0.126984	0.127273	0.153846	0.078431	0.142857	0.107143	0.116883	0.070423	0.038462	0.080460	0.090909	0.080000	0.125000	0.147541	0.125000	0.131148	0.102041	0.173913	0.102041	0.089286	0.075758	0.055556	0.066667	0.106383	0.078431	0.032258	0.150943	0.166667	0.134328	0.160000	0.160000	0.060606	0.090909	0.137931	0.145833	0.050000	0.169231	0.135593	0.086957	0.122449	0.153846	0.142857	0.117647	0.118644	0.145833	0.118644	0.160714	0.056338	0.160714	0.148936	0.173913	0.186047	0.098765	0.120690	0.098592	0.169231	0.073529	0.028571	0.054945	0.232558	0.106383	0.036364	0.066667	0.076923	0.076923	0.080645	0.060606	0.096154	0.061538	0.166667	0.123457	0.057143	0.057692	0.096154	0.073529	0.126761	0.068493	0.045455	0.164179	0.104167	0.117647	0.097222	0.065574	0.126984	0.144737	0.150943	0.140625	0.154930	0.140351	0.157895	0.057143	0.051724	0.156863	0.088889	0.179104	0.140351	0.139535	0.166667	0.089552	0.038462	0.195122
