	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1.000000	0.637628	0.449329	0.740818	0.472367	0.449329	0.496585	0.670320	0.818731	0.548812	0.670320	0.860708	0.904837	0.052340	0.367879	0.182684	0.904837	0.149569	0.212248	0.576950	0.449329	0.406570	0.449329	0.082085	0.472367	0.173774	0.316637	0.427415	0.052340	0.045049	0.116484	0.367879	0.149569	0.286505	0.637628	0.637628	0.522046	0.637628	0.522046	0.042852	0.122456	0.031746	0.349938	0.135335	0.223130	0.637628	0.522046	0.332871	0.024724	0.367879	0.082085	0.670320	0.192050	0.301194
D00066	0.637628	1.000000	0.522046	0.704688	0.449329	0.472367	0.427415	0.472367	0.778801	0.472367	0.637628	0.606531	0.576950	0.067206	0.386741	0.192050	0.637628	0.212248	0.246597	0.548812	0.472367	0.576950	0.427415	0.105399	0.406570	0.223130	0.301194	0.367879	0.074274	0.047359	0.122456	0.386741	0.173774	0.301194	0.548812	0.548812	0.740818	0.548812	0.670320	0.040762	0.116484	0.045049	0.496585	0.142274	0.173774	1.000000	0.740818	0.349938	0.031746	0.386741	0.086294	0.472367	0.165299	0.259240
D00067	0.449329	0.522046	1.000000	0.606531	0.349938	0.367879	0.818731	0.406570	0.548812	0.548812	0.606531	0.472367	0.449329	0.063928	0.272532	0.223130	0.496585	0.301194	0.234570	0.427415	0.367879	0.332871	0.496585	0.110803	0.778801	0.234570	0.316637	0.316637	0.078082	0.067206	0.157237	0.301194	0.223130	0.316637	0.472367	0.522046	0.427415	0.522046	0.522046	0.057844	0.122456	0.047359	0.286505	0.165299	0.332871	0.522046	0.427415	0.246597	0.033373	0.272532	0.149569	0.449329	0.316637	0.367879
D00075	0.740818	0.704688	0.606531	1.000000	0.576950	0.449329	0.606531	0.606531	0.904837	0.606531	0.904837	0.704688	0.670320	0.057844	0.406570	0.165299	0.740818	0.182684	0.212248	0.704688	0.449329	0.449329	0.548812	0.090718	0.576950	0.173774	0.316637	0.472367	0.057844	0.055023	0.116484	0.406570	0.165299	0.316637	0.637628	0.778801	0.576950	0.778801	0.576950	0.047359	0.149569	0.035084	0.386741	0.122456	0.246597	0.704688	0.576950	0.367879	0.024724	0.406570	0.090718	0.670320	0.234570	0.367879
D00088	0.472367	0.449329	0.349938	0.576950	1.000000	0.259240	0.386741	0.576950	0.522046	0.522046	0.522046	0.406570	0.427415	0.074274	0.637628	0.157237	0.427415	0.142274	0.182684	0.496585	0.259240	0.349938	0.427415	0.095369	0.367879	0.149569	0.223130	0.272532	0.040762	0.070651	0.082085	0.427415	0.128735	0.201897	0.548812	0.496585	0.496585	0.496585	0.449329	0.060810	0.234570	0.030197	0.301194	0.095369	0.212248	0.449329	0.449329	0.472367	0.028725	0.472367	0.095369	0.427415	0.182684	0.234570
D00094	0.449329	0.472367	0.367879	0.449329	0.259240	1.000000	0.301194	0.367879	0.496585	0.367879	0.406570	0.472367	0.449329	0.052340	0.246597	0.272532	0.496585	0.122456	0.316637	0.349938	1.000000	0.332871	0.332871	0.100259	0.286505	0.259240	0.316637	0.259240	0.105399	0.045049	0.142274	0.246597	0.272532	0.349938	0.427415	0.349938	0.427415	0.349938	0.386741	0.047359	0.110803	0.047359	0.286505	0.201897	0.122456	0.472367	0.427415	0.223130	0.036883	0.246597	0.060810	0.301194	0.128735	0.406570
D00105	0.496585	0.427415	0.818731	0.606531	0.386741	0.301194	1.000000	0.496585	0.548812	0.606531	0.606531	0.522046	0.496585	0.057844	0.272532	0.182684	0.548812	0.246597	0.192050	0.472367	0.301194	0.272532	0.496585	0.110803	0.951229	0.192050	0.316637	0.316637	0.063928	0.067206	0.128735	0.272532	0.182684	0.316637	0.522046	0.522046	0.349938	0.522046	0.427415	0.063928	0.135335	0.038774	0.234570	0.135335	0.406570	0.427415	0.349938	0.223130	0.030197	0.246597	0.135335	0.496585	0.316637	0.367879
D00129	0.670320	0.472367	0.406570	0.606531	0.576950	0.367879	0.496585	1.000000	0.606531	0.606531	0.548812	0.704688	0.740818	0.063928	0.406570	0.165299	0.670320	0.135335	0.192050	0.576950	0.367879	0.332871	0.449329	0.100259	0.472367	0.157237	0.286505	0.349938	0.047359	0.055023	0.095369	0.332871	0.122456	0.259240	0.860708	0.522046	0.427415	0.522046	0.427415	0.047359	0.165299	0.031746	0.286505	0.110803	0.246597	0.472367	0.427415	0.332871	0.027324	0.332871	0.082085	0.548812	0.192050	0.272532
D00143	0.818731	0.778801	0.548812	0.904837	0.522046	0.496585	0.548812	0.606531	1.000000	0.606531	0.818731	0.778801	0.740818	0.063928	0.406570	0.182684	0.818731	0.182684	0.234570	0.704688	0.496585	0.496585	0.548812	0.090718	0.522046	0.192050	0.316637	0.472367	0.057844	0.049787	0.128735	0.406570	0.165299	0.316637	0.637628	0.704688	0.637628	0.704688	0.576950	0.047359	0.135335	0.035084	0.427415	0.135335	0.223130	0.778801	0.637628	0.367879	0.027324	0.406570	0.090718	0.606531	0.212248	0.332871
D00163	0.548812	0.472367	0.548812	0.606531	0.522046	0.367879	0.606531	0.606531	0.606531	1.000000	0.548812	0.522046	0.548812	0.063928	0.449329	0.223130	0.548812	0.201897	0.212248	0.576950	0.367879	0.406570	0.670320	0.110803	0.576950	0.234570	0.259240	0.316637	0.057844	0.074274	0.142274	0.406570	0.182684	0.234570	0.576950	0.522046	0.522046	0.522046	0.472367	0.063928	0.165299	0.038774	0.349938	0.149569	0.301194	0.472367	0.522046	0.367879	0.036883	0.406570	0.122456	0.449329	0.286505	0.406570
D00182	0.670320	0.637628	0.606531	0.904837	0.522046	0.406570	0.606531	0.548812	0.818731	0.548812	1.000000	0.637628	0.606531	0.052340	0.367879	0.149569	0.670320	0.182684	0.192050	0.637628	0.406570	0.406570	0.496585	0.090718	0.637628	0.157237	0.286505	0.472367	0.052340	0.055023	0.105399	0.367879	0.165299	0.286505	0.576950	0.860708	0.522046	0.860708	0.576950	0.047359	0.135335	0.031746	0.349938	0.122456	0.246597	0.637628	0.576950	0.332871	0.022371	0.367879	0.090718	0.740818	0.234570	0.367879
