	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1.000000	0.756757	0.600000	0.837838	0.680851	0.567568	0.650000	0.804878	0.888889	0.707317	0.789474	0.914286	0.942857	0.305882	0.615385	0.306122	0.941176	0.377049	0.326087	0.744186	0.567568	0.608696	0.636364	0.193548	0.634146	0.285714	0.425000	0.660000	0.119403	0.243902	0.306452	0.615385	0.224490	0.358974	0.775000	0.769231	0.690476	0.769231	0.682927	0.202532	0.373134	0.148148	0.571429	0.310345	0.473684	0.756757	0.690476	0.592593	0.186813	0.615385	0.275362	0.789474	0.450000	0.384615
D00066	0.756757	1.000000	0.648649	0.805556	0.652174	0.571429	0.575000	0.651163	0.857143	0.634146	0.756757	0.729730	0.710526	0.333333	0.620000	0.297872	0.750000	0.446429	0.348837	0.714286	0.571429	0.731707	0.604651	0.224138	0.560976	0.333333	0.384615	0.600000	0.161290	0.237500	0.300000	0.620000	0.239130	0.351351	0.700000	0.692308	0.837838	0.692308	0.783784	0.179487	0.348485	0.184211	0.681818	0.303571	0.396552	1.000000	0.837838	0.596154	0.206897	0.620000	0.268657	0.625000	0.400000	0.307692
D00067	0.600000	0.648649	1.000000	0.729730	0.562500	0.459459	0.878788	0.590909	0.684211	0.692308	0.729730	0.615385	0.600000	0.320988	0.509434	0.333333	0.631579	0.538462	0.325581	0.613636	0.459459	0.521739	0.658537	0.228070	0.852941	0.340909	0.394737	0.549020	0.163934	0.289474	0.350877	0.538462	0.302326	0.361111	0.634146	0.666667	0.595238	0.666667	0.666667	0.229730	0.353846	0.186667	0.489796	0.333333	0.568627	0.648649	0.595238	0.490909	0.209302	0.509434	0.377049	0.600000	0.566038	0.428571
D00075	0.837838	0.805556	0.729730	1.000000	0.755556	0.567568	0.736842	0.761905	0.942857	0.750000	0.942857	0.810811	0.789474	0.321429	0.647059	0.280000	0.833333	0.423729	0.326087	0.829268	0.567568	0.644444	0.714286	0.213115	0.717949	0.285714	0.425000	0.693878	0.136364	0.275000	0.306452	0.647059	0.250000	0.394737	0.775000	0.864865	0.731707	0.864865	0.725000	0.217949	0.415385	0.162500	0.604167	0.288136	0.500000	0.805556	0.731707	0.622642	0.186813	0.647059	0.294118	0.789474	0.500000	0.459459
D00088	0.680851	0.652174	0.562500	0.755556	1.000000	0.437500	0.604167	0.770833	0.717391	0.723404	0.717391	0.625000	0.645833	0.402299	0.826923	0.339286	0.638298	0.417910	0.358491	0.720000	0.437500	0.603774	0.660000	0.287879	0.591837	0.321429	0.387755	0.566667	0.146667	0.361446	0.295775	0.696429	0.267857	0.333333	0.744681	0.702128	0.708333	0.702128	0.666667	0.308642	0.560606	0.195402	0.571429	0.298507	0.507937	0.652174	0.673469	0.732143	0.252632	0.727273	0.356164	0.645833	0.484848	0.382979
D00094	0.567568	0.571429	0.459459	0.567568	0.437500	1.000000	0.400000	0.523810	0.611111	0.500000	0.526316	0.583333	0.567568	0.262500	0.450980	0.350000	0.600000	0.275862	0.378378	0.511628	1.000000	0.488372	0.476190	0.163636	0.390244	0.325000	0.342857	0.460000	0.181818	0.194805	0.290909	0.450980	0.315789	0.343750	0.564103	0.475000	0.564103	0.475000	0.512821	0.164384	0.301587	0.152778	0.456522	0.346939	0.275862	0.571429	0.564103	0.433962	0.195122	0.450980	0.164179	0.414634	0.305085	0.419355
D00105	0.650000	0.575000	0.878788	0.736842	0.604167	0.400000	1.000000	0.674419	0.692308	0.743590	0.736842	0.666667	0.650000	0.313253	0.518519	0.291667	0.684211	0.490909	0.282609	0.659091	0.400000	0.469388	0.666667	0.241379	0.969697	0.297872	0.410256	0.557692	0.140625	0.298701	0.316667	0.518519	0.260870	0.378378	0.682927	0.675000	0.533333	0.675000	0.595238	0.256757	0.384615	0.166667	0.442308	0.298246	0.640000	0.575000	0.533333	0.473684	0.204545	0.490909	0.365079	0.650000	0.574074	0.444444
D00129	0.804878	0.651163	0.590909	0.761905	0.770833	0.523810	0.674419	1.000000	0.761905	0.767442	0.720930	0.825000	0.850000	0.360465	0.666667	0.320755	0.800000	0.384615	0.340000	0.760870	0.523810	0.568627	0.659574	0.269841	0.659091	0.301887	0.431818	0.618182	0.140845	0.301205	0.298507	0.607143	0.222222	0.372093	0.925000	0.704545	0.638298	0.704545	0.630435	0.246914	0.462687	0.178571	0.537037	0.301587	0.525424	0.651163	0.638298	0.614035	0.225806	0.607143	0.305556	0.720930	0.476190	0.395349
D00143	0.888889	0.857143	0.684211	0.942857	0.717391	0.611111	0.692308	0.761905	1.000000	0.750000	0.888889	0.861111	0.837838	0.337349	0.647059	0.306122	0.885714	0.423729	0.355556	0.829268	0.611111	0.681818	0.714286	0.213115	0.675000	0.312500	0.425000	0.693878	0.136364	0.259259	0.327869	0.647059	0.250000	0.394737	0.775000	0.815789	0.775000	0.815789	0.725000	0.217949	0.393939	0.162500	0.638298	0.310345	0.473684	0.857143	0.775000	0.622642	0.200000	0.647059	0.294118	0.743590	0.474576	0.421053
D00163	0.707317	0.634146	0.692308	0.750000	0.723404	0.500000	0.743590	0.767442	0.750000	1.000000	0.707317	0.682927	0.707317	0.345238	0.686275	0.375000	0.700000	0.457627	0.340426	0.750000	0.500000	0.617021	0.804878	0.266667	0.725000	0.382979	0.372093	0.574074	0.149254	0.333333	0.360656	0.653846	0.291667	0.309524	0.738095	0.690476	0.697674	0.690476	0.651163	0.276316	0.446154	0.187500	0.580000	0.344828	0.563636	0.634146	0.697674	0.629630	0.250000	0.653846	0.363636	0.627907	0.561404	0.513514
