	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1.000000	0.612626	0.548812	0.657047	0.522046	0.477114	0.594521	0.559898	0.778801	0.650509	0.511709	0.522046	0.644036	0.307279	0.431711	0.501576	0.537944	0.496585	0.431711	0.522046	0.477114	0.501576	0.559898	0.527292	0.516851	0.496585	0.565525	0.431711	0.486752	0.414783	0.367879	0.402524	0.522046	0.559898	0.543351	0.496585	0.506617	0.496585	0.491644	0.427415	0.427415	0.463013	0.472367	0.436049	0.472367	0.543351	0.472367	0.414783	0.346456	0.463013	0.406570	0.486752	0.516851	0.559898
D00066	0.612626	1.000000	0.637628	0.878095	0.697676	0.554327	0.637628	0.463013	0.786628	0.559898	0.631284	0.486752	0.481909	0.343009	0.511709	0.548812	0.501576	0.576950	0.491644	0.657047	0.554327	0.657047	0.625002	0.576950	0.576950	0.532592	0.594521	0.522046	0.511709	0.463013	0.402524	0.467666	0.559898	0.600496	0.506617	0.600496	0.663650	0.600496	0.606531	0.458406	0.477114	0.506617	0.571209	0.477114	0.486752	0.802519	0.559898	0.491644	0.379083	0.559898	0.436049	0.522046	0.565525	0.600496
D00067	0.548812	0.637628	1.000000	0.657047	0.576950	0.548812	0.835270	0.477114	0.600496	0.522046	0.625002	0.491644	0.486752	0.346456	0.486752	0.576950	0.506617	0.835270	0.496585	0.600496	0.548812	0.543351	0.594521	0.618783	0.802519	0.548812	0.663650	0.516851	0.537944	0.467666	0.431711	0.463013	0.576950	0.670320	0.511709	0.582748	0.582748	0.582748	0.554327	0.472367	0.472367	0.543351	0.501576	0.501576	0.588605	0.588605	0.554327	0.467666	0.414783	0.511709	0.496585	0.537944	0.670320	0.606531
D00075	0.657047	0.878095	0.657047	1.000000	0.718924	0.548812	0.726149	0.496585	0.704688	0.576950	0.650509	0.511709	0.516851	0.346456	0.527292	0.554327	0.537944	0.594521	0.486752	0.704688	0.548812	0.663650	0.644036	0.594521	0.594521	0.537944	0.612626	0.537944	0.516851	0.467666	0.406570	0.491644	0.576950	0.618783	0.532592	0.618783	0.657047	0.618783	0.612626	0.463013	0.472367	0.522046	0.588605	0.481909	0.554327	0.704688	0.554327	0.506617	0.382893	0.565525	0.440432	0.537944	0.631284	0.618783
D00088	0.522046	0.697676	0.576950	0.718924	1.000000	0.501576	0.554327	0.436049	0.571209	0.516851	0.618783	0.449329	0.453845	0.316637	0.612626	0.516851	0.463013	0.522046	0.453845	0.657047	0.501576	0.594521	0.576950	0.543351	0.565525	0.481909	0.559898	0.522046	0.481909	0.427415	0.386741	0.477114	0.527292	0.565525	0.477114	0.576950	0.612626	0.576950	0.527292	0.431711	0.431711	0.467666	0.559898	0.449329	0.440432	0.606531	0.527292	0.491644	0.357007	0.618783	0.410656	0.501576	0.501576	0.565525
D00094	0.477114	0.554327	0.548812	0.548812	0.501576	1.000000	0.537944	0.477114	0.543351	0.522046	0.522046	0.501576	0.496585	0.346456	0.431711	0.565525	0.516851	0.496585	0.644036	0.522046	1.000000	0.501576	0.548812	0.582748	0.516851	0.527292	0.600496	0.449329	0.527292	0.477114	0.423162	0.410656	0.565525	0.618783	0.511709	0.496585	0.516851	0.496585	0.481909	0.453845	0.472367	0.501576	0.463013	0.501576	0.427415	0.543351	0.501576	0.449329	0.398519	0.453845	0.449329	0.477114	0.486752	0.631284
D00105	0.594521	0.637628	0.835270	0.726149	0.554327	0.537944	1.000000	0.506617	0.625002	0.554327	0.600496	0.511709	0.516851	0.339596	0.477114	0.565525	0.537944	0.697676	0.486752	0.588605	0.537944	0.522046	0.594521	0.594521	0.802519	0.548812	0.663650	0.496585	0.527292	0.458406	0.414783	0.453845	0.576950	0.670320	0.532592	0.559898	0.537944	0.559898	0.576950	0.463013	0.472367	0.522046	0.491644	0.491644	0.677057	0.588605	0.543351	0.458406	0.398519	0.491644	0.486752	0.537944	0.786628	0.606531
D00129	0.559898	0.463013	0.477114	0.496585	0.436049	0.477114	0.506617	1.000000	0.481909	0.543351	0.444858	0.690734	0.786628	0.283654	0.382893	0.472367	0.644036	0.431711	0.398519	0.453845	0.477114	0.418952	0.477114	0.477114	0.458406	0.458406	0.511709	0.390628	0.449329	0.375311	0.332871	0.364219	0.472367	0.516851	0.704688	0.449329	0.431711	0.449329	0.410656	0.410656	0.402524	0.427415	0.418952	0.394554	0.418952	0.453845	0.410656	0.382893	0.313486	0.386741	0.367879	0.449329	0.449329	0.516851
D00143	0.778801	0.786628	0.600496	0.704688	0.571209	0.543351	0.625002	0.481909	1.000000	0.594521	0.559898	0.516851	0.511709	0.349938	0.472367	0.548812	0.532592	0.543351	0.481909	0.571209	0.543351	0.571209	0.612626	0.565525	0.554327	0.532592	0.594521	0.472367	0.511709	0.453845	0.402524	0.440432	0.559898	0.600496	0.527292	0.532592	0.576950	0.532592	0.537944	0.458406	0.477114	0.496585	0.516851	0.477114	0.496585	0.697676	0.537944	0.463013	0.379083	0.516851	0.444858	0.511709	0.554327	0.600496
D00163	0.650509	0.559898	0.522046	0.576950	0.516851	0.522046	0.554327	0.543351	0.594521	1.000000	0.506617	0.506617	0.554327	0.310367	0.444858	0.516851	0.522046	0.472367	0.444858	0.516851	0.522046	0.486752	0.554327	0.543351	0.501576	0.501576	0.559898	0.436049	0.501576	0.436049	0.386741	0.414783	0.527292	0.554327	0.537944	0.491644	0.501576	0.491644	0.506617	0.431711	0.467666	0.467666	0.467666	0.449329	0.477114	0.548812	0.477114	0.427415	0.357007	0.458406	0.410656	0.463013	0.501576	0.637628
D00182	0.511709	0.631284	0.625002	0.650509	0.618783	0.522046	0.600496	0.444858	0.559898	0.506617	1.000000	0.467666	0.463013	0.323033	0.481909	0.527292	0.481909	0.576950	0.463013	0.618783	0.522046	0.571209	0.637628	0.565525	0.748264	0.501576	0.594521	0.588605	0.501576	0.436049	0.394554	0.440432	0.537944	0.600496	0.486752	0.860708	0.612626	0.860708	0.670320	0.458406	0.440432	0.496585	0.527292	0.467666	0.467666	0.594521	0.697676	0.453845	0.379083	0.516851	0.427415	0.637628	0.532592	0.576950
D00187	0.522046	0.486752	0.491644	0.511709	0.449329	0.501576	0.511709	0.690734	0.516851	0.506617	0.467666	1.000000	0.810584	0.304221	0.386741	0.477114	0.843665	0.453845	0.410656	0.486752	0.501576	0.440432	0.501576	0.501576	0.472367	0.472367	0.527292	0.410656	0.453845	0.402524	0.349938	0.382893	0.477114	0.543351	0.740818	0.453845	0.444858	0.453845	0.431711	0.398519	0.406570	0.431711	0.423162	0.406570	0.406570	0.477114	0.431711	0.394554	0.329559	0.398519	0.386741	0.453845	0.463013	0.522046
D00188	0.644036	0.481909	0.486752	0.516851	0.453845	0.496585	0.516851	0.786628	0.511709	0.554327	0.463013	0.810584	1.000000	0.295230	0.390628	0.472367	0.683861	0.440432	0.414783	0.472367	0.496585	0.436049	0.496585	0.496585	0.467666	0.458406	0.532592	0.406570	0.458406	0.390628	0.346456	0.371577	0.491644	0.537944	0.677057	0.458406	0.440432	0.458406	0.427415	0.402524	0.394554	0.436049	0.427415	0.410656	0.418952	0.472367	0.427415	0.390628	0.326280	0.402524	0.382893	0.458406	0.458406	0.537944
D00211	0.307279	0.343009	0.346456	0.346456	0.316637	0.346456	0.339596	0.283654	0.349938	0.310367	0.323033	0.304221	0.295230	1.000000	0.283654	0.349938	0.319819	0.326280	0.339596	0.336216	0.346456	0.336216	0.332871	0.367879	0.319819	0.326280	0.379083	0.278037	0.313486	0.307279	0.272532	0.280832	0.349938	0.382893	0.304221	0.307279	0.339596	0.307279	0.310367	0.280832	0.298197	0.343009	0.304221	0.304221	0.286505	0.349938	0.323033	0.289384	0.278037	0.286505	0.295230	0.283654	0.301194	0.367879
D00246	0.431711	0.511709	0.486752	0.527292	0.612626	0.431711	0.477114	0.382893	0.472367	0.444858	0.481909	0.386741	0.390628	0.283654	1.000000	0.472367	0.398519	0.449329	0.398519	0.501576	0.431711	0.453845	0.477114	0.496585	0.458406	0.431711	0.501576	0.431711	0.423162	0.382893	0.360595	0.481909	0.481909	0.496585	0.418952	0.467666	0.467666	0.467666	0.436049	0.371577	0.394554	0.427415	0.472367	0.394554	0.379083	0.472367	0.436049	0.537944	0.326280	0.625002	0.360595	0.423162	0.431711	0.516851
D00279	0.501576	0.548812	0.576950	0.554327	0.516851	0.565525	0.565525	0.472367	0.548812	0.516851	0.527292	0.477114	0.472367	0.349938	0.472367	1.000000	0.491644	0.543351	0.600496	0.527292	0.565525	0.506617	0.554327	0.663650	0.543351	0.826959	0.711770	0.472367	0.600496	0.532592	0.501576	0.467666	0.711770	0.690734	0.516851	0.532592	0.532592	0.532592	0.506617	0.548812	0.606531	0.559898	0.486752	0.571209	0.477114	0.537944	0.506617	0.463013	0.453845	0.527292	0.532592	0.501576	0.543351	0.704688
D00299	0.537944	0.501576	0.506617	0.537944	0.463013	0.516851	0.537944	0.644036	0.532592	0.522046	0.481909	0.843665	0.683861	0.319819	0.398519	0.491644	1.000000	0.477114	0.423162	0.501576	0.516851	0.463013	0.516851	0.516851	0.486752	0.486752	0.543351	0.414783	0.467666	0.414783	0.367879	0.402524	0.491644	0.559898	0.763379	0.467666	0.477114	0.467666	0.444858	0.410656	0.418952	0.444858	0.436049	0.418952	0.427415	0.491644	0.444858	0.406570	0.339596	0.410656	0.398519	0.449329	0.486752	0.537944
D00312	0.496585	0.576950	0.835270	0.594521	0.522046	0.496585	0.697676	0.431711	0.543351	0.472367	0.576950	0.453845	0.440432	0.326280	0.449329	0.543351	0.477114	1.000000	0.467666	0.543351	0.496585	0.491644	0.537944	0.571209	0.670320	0.516851	0.576950	0.467666	0.496585	0.449329	0.390628	0.444858	0.543351	0.582748	0.463013	0.537944	0.559898	0.537944	0.522046	0.453845	0.453845	0.511709	0.472367	0.463013	0.491644	0.532592	0.522046	0.440432	0.390628	0.491644	0.449329	0.496585	0.657047	0.548812
D00316	0.431711	0.491644	0.496585	0.486752	0.453845	0.644036	0.486752	0.398519	0.481909	0.444858	0.463013	0.410656	0.414783	0.339596	0.398519	0.600496	0.423162	0.467666	1.000000	0.463013	0.644036	0.444858	0.477114	0.559898	0.467666	0.516851	0.600496	0.406570	0.506617	0.449329	0.431711	0.379083	0.588605	0.594521	0.427415	0.467666	0.467666	0.467666	0.453845	0.463013	0.472367	0.472367	0.418952	0.501576	0.410656	0.481909	0.444858	0.406570	0.398519	0.436049	0.440432	0.431711	0.449329	0.606531
D00327	0.522046	0.657047	0.600496	0.704688	0.657047	0.522046	0.588605	0.453845	0.571209	0.516851	0.618783	0.486752	0.472367	0.336216	0.501576	0.527292	0.501576	0.543351	0.463013	1.000000	0.522046	0.594521	0.625002	0.565525	0.576950	0.501576	0.582748	0.543351	0.501576	0.453845	0.386741	0.506617	0.537944	0.588605	0.496585	0.588605	0.588605	0.588605	0.516851	0.449329	0.449329	0.506617	0.594521	0.458406	0.477114	0.618783	0.516851	0.576950	0.364219	0.527292	0.418952	0.511709	0.522046	0.576950
D00348	0.477114	0.554327	0.548812	0.548812	0.501576	1.000000	0.537944	0.477114	0.543351	0.522046	0.522046	0.501576	0.496585	0.346456	0.431711	0.565525	0.516851	0.496585	0.644036	0.522046	1.000000	0.501576	0.548812	0.582748	0.516851	0.527292	0.600496	0.449329	0.527292	0.477114	0.423162	0.410656	0.565525	0.618783	0.511709	0.496585	0.516851	0.496585	0.481909	0.453845	0.472367	0.501576	0.463013	0.501576	0.427415	0.543351	0.501576	0.449329	0.398519	0.453845	0.449329	0.477114	0.486752	0.631284
D00443	0.501576	0.657047	0.543351	0.663650	0.594521	0.501576	0.522046	0.418952	0.571209	0.486752	0.571209	0.440432	0.436049	0.336216	0.453845	0.506617	0.463013	0.491644	0.444858	0.594521	0.501576	1.000000	0.576950	0.522046	0.522046	0.481909	0.537944	0.481909	0.463013	0.410656	0.364219	0.431711	0.506617	0.543351	0.458406	0.522046	0.600496	0.522046	0.486752	0.423162	0.414783	0.458406	0.657047	0.431711	0.440432	0.606531	0.506617	0.453845	0.364219	0.486752	0.402524	0.453845	0.481909	0.543351
D00462	0.559898	0.625002	0.594521	0.644036	0.576950	0.548812	0.594521	0.477114	0.612626	0.554327	0.637628	0.501576	0.496585	0.332871	0.477114	0.554327	0.516851	0.537944	0.477114	0.625002	0.548812	0.576950	1.000000	0.582748	0.618783	0.537944	0.600496	0.506617	0.506617	0.467666	0.398519	0.444858	0.554327	0.606531	0.522046	0.559898	0.582748	0.559898	0.522046	0.453845	0.453845	0.511709	0.532592	0.481909	0.472367	0.576950	0.554327	0.458406	0.398519	0.501576	0.431711	0.516851	0.537944	0.606531
D00506	0.527292	0.576950	0.618783	0.594521	0.543351	0.582748	0.594521	0.477114	0.565525	0.543351	0.565525	0.501576	0.496585	0.367879	0.496585	0.663650	0.516851	0.571209	0.559898	0.565525	0.582748	0.522046	0.582748	1.000000	0.571209	0.606531	0.733447	0.496585	0.594521	0.571209	0.527292	0.472367	0.677057	0.711770	0.511709	0.582748	0.537944	0.582748	0.554327	0.532592	0.588605	0.612626	0.491644	0.543351	0.481909	0.565525	0.511709	0.458406	0.449329	0.491644	0.506617	0.537944	0.527292	0.740818
D00554	0.516851	0.576950	0.802519	0.594521	0.565525	0.516851	0.802519	0.458406	0.554327	0.501576	0.748264	0.472367	0.467666	0.319819	0.458406	0.543351	0.486752	0.670320	0.467666	0.576950	0.516851	0.522046	0.618783	0.571209	1.000000	0.516851	0.637628	0.537944	0.506617	0.431711	0.398519	0.427415	0.543351	0.644036	0.491644	0.644036	0.559898	0.644036	0.511709	0.453845	0.444858	0.501576	0.481909	0.481909	0.554327	0.543351	0.612626	0.431711	0.390628	0.491644	0.467666	0.618783	0.644036	0.571209
D00565	0.496585	0.532592	0.548812	0.537944	0.481909	0.527292	0.548812	0.458406	0.532592	0.501576	0.501576	0.472367	0.458406	0.326280	0.431711	0.826959	0.486752	0.516851	0.516851	0.501576	0.527292	0.481909	0.537944	0.606531	0.516851	1.000000	0.677057	0.449329	0.594521	0.496585	0.449329	0.427415	0.663650	0.683861	0.501576	0.486752	0.506617	0.486752	0.481909	0.522046	0.576950	0.532592	0.463013	0.511709	0.444858	0.511709	0.481909	0.423162	0.440432	0.453845	0.537944	0.458406	0.516851	0.644036
D00577	0.565525	0.594521	0.663650	0.612626	0.559898	0.600496	0.663650	0.511709	0.594521	0.559898	0.594521	0.527292	0.532592	0.379083	0.501576	0.711770	0.543351	0.576950	0.600496	0.582748	0.600496	0.537944	0.600496	0.733447	0.637628	0.677057	1.000000	0.511709	0.637628	0.543351	0.522046	0.477114	0.755784	0.878095	0.548812	0.588605	0.554327	0.588605	0.537944	0.571209	0.618783	0.606531	0.506617	0.594521	0.537944	0.582748	0.537944	0.472367	0.491644	0.506617	0.612626	0.565525	0.554327	0.763379
D00585	0.431711	0.522046	0.516851	0.537944	0.522046	0.449329	0.496585	0.390628	0.472367	0.436049	0.588605	0.410656	0.406570	0.278037	0.431711	0.472367	0.414783	0.467666	0.406570	0.543351	0.449329	0.481909	0.506617	0.496585	0.537944	0.449329	0.511709	1.000000	0.431711	0.398519	0.339596	0.410656	0.481909	0.516851	0.410656	0.548812	0.506617	0.548812	0.481909	0.394554	0.394554	0.436049	0.463013	0.410656	0.410656	0.511709	0.463013	0.423162	0.319819	0.427415	0.367879	0.477114	0.440432	0.496585
D00586	0.486752	0.511709	0.537944	0.516851	0.481909	0.527292	0.527292	0.449329	0.511709	0.501576	0.501576	0.453845	0.458406	0.313486	0.423162	0.600496	0.467666	0.496585	0.506617	0.501576	0.527292	0.463013	0.506617	0.594521	0.506617	0.594521	0.637628	0.431711	1.000000	0.458406	0.440432	0.402524	0.600496	0.644036	0.472367	0.486752	0.477114	0.486752	0.463013	0.650509	0.501576	0.718924	0.444858	0.481909	0.453845	0.511709	0.472367	0.406570	0.449329	0.418952	0.467666	0.449329	0.467666	0.631284
