	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1.000000	0.300000	0.189189	0.353846	0.207317	0.086420	0.257143	0.292683	0.568966	0.376812	0.162500	0.216867	0.397260	0.085271	0.142857	0.067568	0.225000	0.156627	0.056180	0.177215	0.086420	0.188235	0.205479	0.072464	0.164557	0.090909	0.080645	0.125000	0.088608	0.083333	0.047619	0.125000	0.084507	0.064516	0.237500	0.156627	0.180723	0.156627	0.193182	0.076087	0.065934	0.072289	0.175824	0.097826	0.193548	0.207792	0.147727	0.137255	0.053571	0.180851	0.062500	0.162791	0.223529	0.064516
D00066	0.300000	1.000000	0.285714	0.723404	0.437500	0.157143	0.285714	0.125000	0.555556	0.205479	0.303030	0.132530	0.130952	0.108333	0.220930	0.090909	0.137500	0.236111	0.101266	0.343750	0.157143	0.382353	0.265625	0.098361	0.214286	0.100000	0.071429	0.216867	0.082192	0.114943	0.061856	0.182796	0.093750	0.072727	0.150000	0.271429	0.378788	0.271429	0.324324	0.082353	0.097561	0.093333	0.282051	0.119048	0.181818	0.592593	0.236842	0.211111	0.067308	0.283951	0.067416	0.177215	0.259740	0.072727
D00067	0.189189	0.285714	1.000000	0.300000	0.236111	0.130435	0.625000	0.129412	0.227273	0.133333	0.276923	0.123457	0.121951	0.101695	0.172414	0.112903	0.128205	0.653846	0.090909	0.238806	0.130435	0.197368	0.200000	0.142857	0.576923	0.104478	0.163265	0.195122	0.101449	0.105882	0.086957	0.163043	0.098361	0.166667	0.141026	0.228571	0.239437	0.228571	0.233766	0.085366	0.074074	0.128571	0.168675	0.137500	0.311688	0.220588	0.213333	0.164835	0.102041	0.202381	0.135802	0.184211	0.402985	0.056604
D00075	0.353846	0.723404	0.300000	1.000000	0.459016	0.130435	0.418182	0.156627	0.396552	0.214286	0.317460	0.151899	0.164557	0.101695	0.228916	0.078125	0.173333	0.246377	0.076923	0.406780	0.130435	0.378788	0.278689	0.103448	0.223881	0.088235	0.075472	0.225000	0.070423	0.105882	0.052632	0.202247	0.098361	0.076923	0.171053	0.283582	0.353846	0.283582	0.319444	0.072289	0.074074	0.097222	0.293333	0.109756	0.262500	0.406780	0.213333	0.218391	0.058824	0.278481	0.057471	0.184211	0.342857	0.076923
D00088	0.207317	0.437500	0.236111	0.459016	1.000000	0.126582	0.202703	0.126316	0.243243	0.185185	0.323944	0.120879	0.131868	0.101562	0.395062	0.095890	0.125000	0.197531	0.091954	0.382353	0.126582	0.324675	0.236111	0.102941	0.240000	0.075949	0.079365	0.252874	0.087500	0.105263	0.077670	0.229167	0.098592	0.080645	0.149425	0.276316	0.337838	0.276316	0.247059	0.086957	0.076923	0.084337	0.301205	0.120879	0.154639	0.305556	0.228916	0.244681	0.072072	0.400000	0.072917	0.188235	0.206897	0.080645
D00094	0.086420	0.157143	0.130435	0.130435	0.126582	1.000000	0.114286	0.129412	0.140845	0.133333	0.121622	0.137500	0.135802	0.101695	0.096774	0.095238	0.142857	0.102564	0.312500	0.121622	1.000000	0.137500	0.130435	0.084746	0.108108	0.072464	0.055556	0.101124	0.085714	0.119048	0.075269	0.091837	0.080645	0.076923	0.141026	0.102564	0.142857	0.102564	0.130952	0.059524	0.074074	0.067568	0.114943	0.137500	0.086022	0.152778	0.137500	0.139785	0.080000	0.122222	0.069767	0.097561	0.132530	0.098039
D00105	0.257143	0.285714	0.625000	0.418182	0.202703	0.114286	1.000000	0.170732	0.265625	0.180556	0.238806	0.151899	0.164557	0.092437	0.159091	0.095238	0.173333	0.409836	0.076923	0.220588	0.114286	0.166667	0.200000	0.103448	0.576923	0.104478	0.163265	0.166667	0.085714	0.093023	0.063830	0.150538	0.098361	0.166667	0.171053	0.194444	0.173333	0.194444	0.266667	0.072289	0.074074	0.097222	0.154762	0.123457	0.442857	0.220588	0.197368	0.152174	0.080000	0.174419	0.121951	0.184211	0.593220	0.056604
D00129	0.292683	0.125000	0.129412	0.156627	0.126316	0.129412	0.170732	1.000000	0.151163	0.256098	0.109890	0.493151	0.641791	0.080292	0.111111	0.074074	0.413333	0.106383	0.051546	0.122222	0.129412	0.112245	0.129412	0.051282	0.123596	0.082353	0.056338	0.104762	0.080460	0.066667	0.035088	0.106195	0.062500	0.057143	0.507042	0.130435	0.115789	0.130435	0.118812	0.091837	0.071429	0.065934	0.138614	0.079208	0.155340	0.122222	0.101010	0.127273	0.041322	0.112150	0.047619	0.148936	0.166667	0.057143
D00143	0.568966	0.555556	0.227273	0.396552	0.243243	0.140845	0.265625	0.151163	1.000000	0.257143	0.194444	0.175000	0.172840	0.117647	0.166667	0.090909	0.181818	0.186667	0.087500	0.211268	0.140845	0.253333	0.246154	0.080645	0.180556	0.100000	0.071429	0.147727	0.082192	0.102273	0.061856	0.145833	0.093750	0.072727	0.179487	0.171053	0.246575	0.171053	0.225000	0.082353	0.097561	0.078947	0.204819	0.119048	0.195402	0.409836	0.205128	0.172043	0.067308	0.223529	0.079545	0.162500	0.243590	0.072727
D00163	0.376812	0.205479	0.133333	0.214286	0.185185	0.133333	0.180556	0.256098	0.257143	1.000000	0.139241	0.180723	0.253165	0.078740	0.147368	0.070423	0.187500	0.107143	0.058140	0.153846	0.133333	0.152941	0.180556	0.075758	0.126582	0.080000	0.049180	0.117021	0.092105	0.097826	0.059406	0.128713	0.072464	0.032787	0.215190	0.134146	0.158537	0.134146	0.200000	0.066667	0.105882	0.061728	0.155556	0.101124	0.186813	0.200000	0.139535	0.141414	0.055046	0.161290	0.053191	0.114943	0.188235	0.166667
D00182	0.162500	0.303030	0.276923	0.317460	0.323944	0.121622	0.238806	0.109890	0.194444	0.139241	1.000000	0.116279	0.114943	0.088710	0.188889	0.072464	0.120482	0.246575	0.072289	0.294118	0.121622	0.263158	0.296875	0.095238	0.500000	0.067568	0.087719	0.320513	0.080000	0.087912	0.060606	0.154639	0.074627	0.089286	0.132530	0.716981	0.309859	0.716981	0.428571	0.093023	0.057471	0.090909	0.228916	0.116279	0.164835	0.257143	0.454545	0.168421	0.076190	0.232558	0.065934	0.357143	0.222222	0.051724
D00187	0.216867	0.132530	0.123457	0.151899	0.120879	0.137500	0.151899	0.493151	0.175000	0.180723	0.116279	1.000000	0.666667	0.091603	0.095238	0.051282	0.711864	0.112360	0.043011	0.142857	0.137500	0.118280	0.137500	0.054795	0.117647	0.074074	0.044776	0.110000	0.059524	0.080808	0.036697	0.111111	0.038961	0.061538	0.545455	0.112360	0.109890	0.112360	0.125000	0.051546	0.052632	0.045455	0.122449	0.072165	0.117647	0.129412	0.106383	0.122642	0.043103	0.106796	0.050000	0.131868	0.163043	0.029851
D00188	0.397260	0.130952	0.121951	0.164557	0.131868	0.135802	0.164557	0.641791	0.172840	0.253165	0.114943	0.666667	1.000000	0.082707	0.104762	0.050633	0.457143	0.098901	0.053763	0.127907	0.135802	0.117021	0.135802	0.054054	0.116279	0.060241	0.059701	0.108911	0.071429	0.069307	0.036364	0.100000	0.065789	0.060606	0.450704	0.123596	0.108696	0.123596	0.123711	0.061856	0.041237	0.056818	0.132653	0.082474	0.138614	0.127907	0.105263	0.121495	0.042735	0.116505	0.049505	0.142857	0.161290	0.060606
D00211	0.085271	0.108333	0.101695	0.101695	0.101562	0.101695	0.092437	0.080292	0.117647	0.078740	0.088710	0.091603	0.082707	1.000000	0.100000	0.070796	0.102362	0.104000	0.114754	0.106557	0.101695	0.134921	0.083333	0.074074	0.080645	0.058824	0.058252	0.079137	0.049180	0.106061	0.078014	0.111888	0.062500	0.058824	0.084615	0.078125	0.129032	0.078125	0.113636	0.052239	0.069231	0.100840	0.111940	0.091603	0.100719	0.125000	0.117188	0.120567	0.111111	0.100719	0.082707	0.059701	0.097744	0.038462
D00246	0.142857	0.220930	0.172414	0.228916	0.395062	0.096774	0.159091	0.111111	0.166667	0.147368	0.188889	0.095238	0.104762	0.100000	1.000000	0.107143	0.098039	0.157895	0.080000	0.215909	0.096774	0.185567	0.159091	0.113924	0.152174	0.076923	0.080000	0.184466	0.075269	0.102804	0.097345	0.284314	0.109756	0.066667	0.130000	0.182796	0.191489	0.182796	0.178218	0.066038	0.088235	0.095745	0.234694	0.105769	0.126126	0.175824	0.161616	0.354167	0.081967	0.453488	0.064220	0.140000	0.168317	0.095890
